Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
liken,compare,N,"Critics liken her voice to a young Joplin.","She likened the task to climbing a mountain.","Do not liken all conflicts to war."
limpid,transparently clear,+,"The stream was limpid in the sun.","She has a limpid, simple writing style.","His limpid explanation cleared the confusion."
linger,remain,N,"She lingered at the door to say goodbye.","The smell of coffee lingers in the kitchen.","Doubts about the plan still linger."
link,connect,N,"He linked the two files with a script.","There is a link between diet and mood.","She sent a link to the article."
lionize,celebrity-worship,N,"The press lionized the young winner.","Fans lionize the coach after every win.","She was lionized in her hometown."
list,ordered items,N,"She made a shopping list before the trip.","The list of guests grew each hour.","Please list the items in order of priority."
literal,exact,N,"He gave a literal translation of the poem.","She is too literal about jokes.","Do not take his warning too literal."
lively,full of energy,+,"The class was lively and fun.","She has a lively sense of humor.","A lively debate followed the talk."
loath,unwilling,−,"He is loath to admit any mistake.","She was loath to leave the warm bed.","They are loath to raise the rent."
loathe,detest,−,"He loathes long meetings.","She loathes rude behavior at dinner.","I loathe the smell of stale smoke."
localize,pinpoint,N,"Doctors could not localize the pain source.","We must localize the plan for each city.","The app localizes for many languages."
logical,reasonable,+,"Her argument was clear and logical.","He gave a logical answer to the puzzle.","There is a logical order to the steps."
long-abandoned,long forsaken,−,"They restored the long-abandoned mill.","She revived a long-abandoned hobby.","The long-abandoned road is now a trail."
long-winded,using too many words,−,"He gave a long-winded speech at dinner.","Her long-winded emails frustrate the team.","The long-winded article lost readers."
longer-term,over a long time,N,"We need a longer-term plan for growth.","Her longer-term goal is graduate school.","Longer-term investments beat quick trades."
loquacious,talkative,N,"The loquacious guide never stopped talking.","She is loquacious after a strong coffee.","His loquacious brother dominated the meal."
loquacity,talkativeness,N,"Her loquacity charmed some and tired others.","His loquacity delayed every meeting.","The loquacity of the crowd rose with the wine."
loyal,faithful,+,"She is loyal to her old friends.","The team stayed loyal to their coach.","A loyal dog waited by the door."
lucid,clearly reasoned,+,"She gave a lucid explanation of the plan.","His prose is short and lucid.","The patient had one lucid hour."
lucidity,clarity,+,"The essay is a model of lucidity.","She spoke with rare lucidity about the loss.","His lucidity fades in the late afternoon."
lucrative,highly profitable,+,"He runs a lucrative side business.","The deal proved lucrative for both firms.","She left her job for a more lucrative role."
lucubration,laborious writing,N,"The book is the result of years of lucubration.","She admired the scholar's careful lucubration.","His lucubration filled three notebooks."
lugubrious,exaggeratedly mournful,−,"He gave a lugubrious sigh at the news.","The lugubrious music suited the funeral.","Her lugubrious tone made the meeting drag."
lull,soothe,+,"Soft rain lulled her to sleep.","Do not lull yourself into false safety.","There was a lull in the storm at noon."
luminary,inspiring celebrity,+,"She is a luminary of modern architecture.","The luminary spoke at the graduation.","Guests included luminaries of the film world."
lyrical,song-like,+,"Her writing style is lyrical and warm.","The film has a lyrical opening scene.","He gave a lyrical description of the coast."
