Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
groundless,without basis,−,"Her fears turned out to be groundless.","The rumor was groundless from the start.","Do not spread groundless accusations."
grovel,cringe pitifully,−,"He refused to grovel for a raise.","Do not grovel to keep such a job.","She would not grovel before the bully."
grow,develop,+,"Children grow quickly at that age.","The company continues to grow abroad.","Her confidence began to grow."
grumble,mutter unhappily,−,"He grumbled about the cold soup.","She grumbles when the bus is late.","Do not grumble; offer solutions."
guard,protect,+,"Two officers guard the entrance.","She guards her privacy carefully.","The dog will guard the house at night."
guardian,protector,+,"He was named legal guardian of his niece.","She acts as guardian of the archive.","The guardian angel is a common motif."
guilelessness,innocent openness,+,"Her guilelessness charmed the older guests.","He answered with pure guilelessness.","The child's guilelessness made the family laugh."
guiltily,with shame,−,"He guiltily hid the empty cookie jar.","She guiltily admitted her mistake.","The child guiltily glanced at her mother."
gullible,easily fooled,−,"He is gullible about get-rich schemes.","She dislikes being taken for gullible.","Gullible viewers believed the fake ad."
gut,intuition,N,"His gut told him something was wrong.","She trusted her gut on the hire.","Trust your gut when reading a stranger."
