Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
feat,notable achievement,+,"Climbing that peak was a great feat.","Her feat impressed even her rivals.","The engineering feat took years to plan."
feckless,irresponsibly ineffective,−,"His feckless brother could not hold a job.","She was tired of his feckless promises.","A feckless leader lost the workers' trust."
fecklessness,ineffectiveness,−,"Her fecklessness at work led to firing.","The team suffered from his fecklessness.","She wrote about the fecklessness of the board."
fecund,abundantly productive,+,"The fecund soil grows any crop.","Her fecund imagination surprised her editor.","The fecund garden fed the whole family."
fecundity,productive imagination,+,"The novelist's fecundity is legendary.","She admired the fecundity of his ideas.","The fecundity of the land supported many farms."
feeble,weak,−,"He gave a feeble excuse for being late.","Her voice was feeble after the illness.","Feeble lighting made reading hard."
feign,pretend,−,"He feigned illness to skip work.","She feigned surprise at the news.","Do not feign interest in her hobby."
feint,deceptive move,−,"The boxer used a feint to open his guard.","She made a feint to the left before running right.","A quick feint tricked the goalkeeper."
felicitous,aptly happy,+,"Her felicitous phrase captured the mood.","He gave a felicitous speech at the wedding.","A felicitous choice of words saved the moment."
felicity,pleasing style,+,"Her writing has a rare felicity.","There was felicity in his acceptance speech.","The felicity of the phrase became famous."
fertility,fertile capacity,+,"The valley's soil fertility is legendary.","Doctors tested her fertility levels.","Fertility of ideas marks a good writer."
fervent,passionately intense,+,"He is a fervent supporter of the team.","She gave a fervent speech about reform.","Fervent prayers filled the little chapel."
fervid,intensely fiery,+,"His fervid enthusiasm inspired the group.","She gave a fervid defense of her plan.","Fervid fans camped outside for tickets."
fervor,burning passion,+,"She spoke with fervor about her cause.","The fans' fervor filled the stadium.","His fervor for painting never faded."
fester,worsen untreated,−,"The wound began to fester in the heat.","Old grudges fester without honest talk.","Do not let the problem fester any longer."
fickle,unreliably changeable,−,"He is fickle about his favorite team.","Fickle weather ruined the picnic.","Fans are fickle in this industry."
fiery,passionately intense,+,"She gave a fiery speech to the crowd.","His fiery temper worried the coach.","The fiery sunset painted the sky red."
figurative,non-literal,N,"He used figurative language in the poem.","Her figurative speech confused the tourists.","In a figurative sense, he was on fire."
finicky,fussy,−,"She is finicky about coffee brands.","The child is a finicky eater at breakfast.","The old machine is finicky and slow."
firmness,steadiness,+,"His firmness in the meeting impressed staff.","She spoke with quiet firmness.","The firmness of the mattress helps her back."
first-handed,direct,N,"She has first-handed knowledge of the events.","His first-handed account changed the report.","First-handed data is more reliable."
fissure,crack,N,"A fissure opened in the wall.","There is a fissure in the party over the plan.","Water seeped through a small fissure."
fitful,restlessly irregular,−,"She had a fitful sleep before the exam.","The wind was fitful all afternoon.","Their progress was fitful but real."
fixation,obsession,−,"His fixation on winning cost him friends.","She has a fixation with vintage cars.","A fixation with details slowed the work."
flagrant,blatantly bad,−,"That was a flagrant violation of the rule.","He showed flagrant disrespect to the judge.","The fraud was flagrant and easy to prove."
flamboyance,showy display,N,"His flamboyance drew every eye.","She loves the flamboyance of Rio's carnival.","There is quiet flamboyance in her outfits."
flamboyant,showy,N,"He wore a flamboyant pink jacket.","She has a flamboyant style of speaking.","The star gave a flamboyant performance."
flaw,defect,−,"There is a small flaw in this vase.","The plan has one obvious flaw.","She admitted her main flaw in the interview."
fledgling,newly emerging,N,"She heads a fledgling nonprofit.","The fledgling firm hired its first staff.","He is a fledgling artist with promise."
fleet,swift,+,"She is a fleet runner on the school team.","A fleet of ships sailed at dawn.","His fleet footwork won the match."
flighty,whimsically fickle,−,"Her flighty attitude worried her parents.","He is too flighty for a serious role.","She grew tired of his flighty plans."
flippancy,inappropriate levity,−,"His flippancy at the funeral shocked us.","She rebuked his flippancy in the meeting.","Do not treat serious topics with flippancy."
flippant,inappropriately jokey,−,"He gave a flippant reply to a serious question.","Her flippant tone upset the interviewer.","Do not be flippant during the trial."
florid,overly flowery,−,"The writer's florid prose bored readers.","He wore a florid tie to the funeral.","A florid style hides weak ideas."
flourish,thrive,+,"Plants flourish in this warm soil.","Her business began to flourish this year.","He signed with a great flourish."
flout,defy openly,−,"He flouted the rules of the club.","She flouted convention with her career choice.","Do not flout the safety guidelines."
fluctuation,variation,N,"There was a small fluctuation in prices.","Fluctuation in her mood worried her friends.","The stock's fluctuation made him nervous."
fluency,smooth speech,+,"She has fluency in French and German.","His fluency in coding impressed the team.","Fluency comes with daily practice."
fluidity,flowing quality,+,"The dancer moves with real fluidity.","There is fluidity in her writing.","The team plays with fluidity."
flummery,empty flattery,−,"Do not fill your speech with flummery.","She dismissed the compliment as flummery.","Politicians love a bit of flummery."
flummox,confuse,−,"The question flummoxed even the professor.","She was flummoxed by the sudden change.","His silence flummoxed the panel."
flummoxed,completely confused,−,"He looked flummoxed at the new machine.","She stood flummoxed after the news.","The flummoxed tourist asked for a map."
flush,peak of prosperity,+,"The town was in a flush of new money.","She was in the flush of youth.","Fresh flush of talent joined the team."
fluster,unsettled state,−,"The sudden noise put her in a fluster.","He was in a fluster before the wedding.","She stayed calm despite the fluster."
flustered,agitated,−,"She looked flustered after the phone call.","He got flustered during the interview.","The flustered clerk misprinted the ticket."
foil,thwart,+,"Police foiled a robbery at dawn.","She foiled his plans with quick thinking.","The hero foils the villain every time."
foment,provoke,−,"He was accused of fomenting unrest.","Do not foment rivalry within the team.","Rumors can foment public panic."
foolhardy,recklessly bold,−,"It was foolhardy to climb without a rope.","His foolhardy plan cost the firm dearly.","She warned him against foolhardy risks."
forbear,refrain,+,"He forbore to mention her past mistake.","Please forbear from asking rude questions.","She forbore to interrupt the speaker."
forbearance,patient tolerance,+,"His forbearance with the noisy kids impressed us.","She showed forbearance during the delay.","Forbearance is a virtue in a landlord."
forbid,prohibit,−,"The rules forbid running near the pool.","Her doctor forbids sugar for a month.","I forbid you from taking that risk."
forbore,refrained,+,"She forbore to comment on his mistake.","He forbore to raise the issue at dinner.","The judge forbore to impose a harsh sentence."
forebode,ominously predict,−,"Dark clouds forebode rain.","A silence forebode trouble at home.","Her tone forebode bad news."
foreground,front area,N,"The tree in the foreground blocks the view.","Please put safety in the foreground of the plan.","In the photo, her face is in the foreground."
foreordain,predestine,N,"Some believe events are foreordained.","She rejected the idea that fate is foreordained.","The novel treats love as foreordained."
forerunner,predecessor,N,"He is the forerunner of modern jazz.","Small tremors are forerunners of a quake.","The device was a forerunner of the smartphone."
foresee,anticipate,+,"She did not foresee the sudden storm.","Analysts foresee slow growth this year.","Do you foresee any problems with the plan?"
foreseeable,predictable,N,"The delay was foreseeable given the strike.","She planned for every foreseeable risk.","In the foreseeable future, rates will stay low."
forestall,prevent by acting first,+,"She forestalled the crisis with quick action.","The team forestalled a data leak.","We must forestall panic among customers."
foretell,predict,N,"The old book claims to foretell events.","She could not foretell how quickly it would spread.","Cloud patterns foretell weather changes."
forgo,do without,N,"She had to forgo dessert on her diet.","He agreed to forgo his bonus this year.","Do not forgo sleep to finish the report."
formal,ceremonial,N,"The event has a strict formal dress code.","She sent a formal thank-you note.","His speech was too formal for the small group."
formality,etiquette rule,N,"The paperwork is a mere formality.","She observed every formality of the court.","We must respect basic office formalities."
formidable,impressively strong,N,"He is a formidable chess opponent.","She faces formidable challenges as a new CEO.","The mountain looks formidable up close."
formlessness,shapelessness,N,"The formlessness of the idea worried the editor.","She found beauty in the cloud's formlessness.","Formlessness in art can also be a choice."
formulaic,by-the-formula,−,"The film's plot felt formulaic.","She avoids formulaic openings in her essays.","Formulaic writing bores most readers."
forsake,abandon,−,"He would never forsake his old friends.","She refused to forsake her principles.","Do not forsake your studies for a quick job."
forswear,renounce,N,"He forswore alcohol for the rest of the year.","She forswore politics after the loss.","The knight forswore his old master."
fortitude,enduring courage,+,"She showed great fortitude during the illness.","His fortitude in battle earned respect.","Fortitude is needed to face hard truths."
fortuitous,by happy chance,+,"Their meeting was truly fortuitous.","A fortuitous phone call saved the deal.","The find was fortuitous and priceless."
foster,encourage,+,"Teachers foster curiosity in kids.","The program fosters small businesses.","She fostered a stray puppy for a month."
found,establish,+,"She founded the charity in 2010.","They found a village during the last century.","The company was founded by two engineers."
fractious,quarrelsomely irritable,−,"The fractious meeting ran late.","Her fractious mood ruined the trip.","Fractious teammates lost the season."
fragile,easily broken,−,"The old vase is very fragile.","Peace in the region remains fragile.","Please handle the box; it is fragile."
fragility,delicateness,−,"The fragility of the deal worries the team.","She wrote about the fragility of memory.","Handle the artifact given its fragility."
frail,physically weak,−,"The frail old man walked with a cane.","She recovered from a frail state after surgery.","The frail bridge could not hold trucks."
frailty,weakness,−,"Human frailty is part of the story.","His moral frailty led to bad choices.","She wrote about the frailty of trust."
frank,openly honest,+,"She gave a frank opinion of the plan.","He is frank about his mistakes.","A frank talk cleared the misunderstanding."
frankness,openness,+,"His frankness surprised the interviewer.","She valued his frankness during the meeting.","Frankness can build trust or bruise egos."
fraudulence,cheating,−,"The audit revealed fraudulence in the books.","She was fired for fraudulence in claims.","Court proved the fraudulence of the deal."
fraught,tension-filled,−,"The negotiations were fraught with problems.","She had a fraught relationship with her boss.","The trip was fraught with delays."
free,unconstrained,+,"She feels free on her long walks.","Please feel free to ask any question.","The tickets are free for students."
free-for-all,noisy fight,−,"The bar erupted into a free-for-all.","The debate turned into a free-for-all.","Sales became a free-for-all at the door."
frenetic,frantically busy,−,"The office was frenetic before the launch.","She hates the frenetic pace of the city.","Frenetic activity followed the alarm."
fresh,new,+,"She served fresh fruit for breakfast.","The team needs fresh ideas.","A fresh coat of paint brightened the room."
fret,worry,−,"Do not fret about small mistakes.","She frets about her son's grades.","He fretted through the night before travel."
friendly,amicable,+,"She has a friendly relationship with her neighbors.","The dog is friendly with children.","The staff is friendly and helpful."
fringe,margin,N,"He watched from the fringe of the crowd.","She holds some fringe opinions on the topic.","The town lies on the fringe of the desert."
frivolity,silly triviality,−,"He has no time for frivolity at work.","The gala was full of harmless frivolity.","Do not accuse her of pure frivolity."
frivolous,unseriously silly,−,"He wasted money on frivolous gadgets.","She thought the argument was frivolous.","The court dismissed the frivolous lawsuit."
frown,disapproving look,−,"She gave him a small frown.","His frown showed his displeasure.","A frown crossed her face at the news."
fruitful,productive,+,"They had a fruitful meeting yesterday.","The garden is fruitful in the summer.","His research years were very fruitful."
fruitfulness,productivity,+,"The fruitfulness of the land amazes visitors.","She spoke of the fruitfulness of that year.","Fruitfulness comes with careful planning."
fruitless,unproductive,−,"The search proved fruitless.","She made a fruitless attempt to reach him.","Fruitless efforts drained the team."
frustrate,thwart,−,"The bad connection frustrated the caller.","Rain frustrated our picnic plans.","She was frustrated by endless delays."
fuel,energy source,N,"Coffee is her morning fuel.","The car needs fuel before the trip.","Bad news fueled the panic in the market."
fulcrum,pivot point,N,"Trust is the fulcrum of the whole plan.","She is the fulcrum of the team's success.","This clause is the fulcrum of the contract."
function,role,N,"Each part has a specific function.","She serves a key function on the board.","This tool has one main function."
functional,working,+,"The old radio is still functional.","She designs functional yet stylish rooms.","The team is now fully functional again."
functionally,in function,N,"The two apps are functionally the same.","She is functionally in charge here.","The device is functionally identical to the old model."
fungible,interchangeable,N,"Oil is a fungible commodity in trade.","Cash is fungible; ideas are not.","These parts are fungible between models."
furtive,sneakily secretive,−,"He gave a furtive glance around the room.","She had a furtive look at the note.","Furtive movements caught the guard's eye."
furtively,secretively,−,"He furtively took a cookie from the jar.","She furtively glanced at her phone.","The suspect moved furtively through the alley."
fusty,stale,−,"The old library smelled fusty.","His fusty ideas need updating.","She threw out the fusty old rug."
futile,uselessly pointless,−,"It was futile to argue with him.","Her efforts to save the plant proved futile.","The rescue attempt was futile in the storm."
futility,uselessness,−,"She sensed the futility of protest.","There is no need to prove the futility of war.","The futility of the search discouraged them."
futurity,future time,N,"He wrote a book about human futurity.","Her plans reach far into futurity.","In the futurity, nothing is certain."
