Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
incessant,continuing without pause,−,The incessant noise gave her a headache.,His incessant questions annoyed the guide.,There was incessant rain all week.
inchoate,"beginning, half formed",N,He shared an inchoate idea at the meeting.,The plan is still inchoate and rough.,Her inchoate ambitions became clearer with time.
incidental,minor,N,The cost was incidental to the main budget.,Her mention of it was incidental.,Music is only an incidental part of the class.
incisive,sharply insightful,+,She gave an incisive review of the plan.,His incisive question exposed the flaw.,The incisive editorial made the news.
incite,stir up,−,His speech was said to incite violence.,Do not incite the crowd with rumors.,She was accused of trying to incite unrest.
incivility,rudeness,−,He was fined for incivility in court.,She reported his incivility to HR.,Online incivility discourages honest debate.
incommensurable,unable to be compared,N,The two theories are incommensurable in their basics.,Their world views are incommensurable.,Justice and cost are often incommensurable.
incommensurate,not matching,N,His pay is incommensurate with his experience.,The reward is incommensurate with the risk.,The penalty is incommensurate with the crime.
incompetence,inability,−,He was fired for repeated incompetence.,She hid her incompetence behind confidence.,The incompetence of the crew ruined the show.
incomprehensible,unable to be understood,−,His accent was incomprehensible to me.,The instructions are incomprehensible.,Grief made her writing incomprehensible.
incongruity,mismatch,−,The incongruity of the clown at the funeral was odd.,She noticed the incongruity in his story.,There was clear incongruity in the design.
incongruous,mismatched,−,His formal suit felt incongruous at the beach party.,The modern chair looked incongruous in the old room.,Her cheerful tone was incongruous with the news.
inconsequential,unimportant,−,The mistake was inconsequential to the outcome.,She dismissed the detail as inconsequential.,Do not worry about inconsequential things.
inconstancy,unfaithful,−,His inconstancy hurt his reputation.,The lover's inconstancy broke her heart.,She wrote about the inconstancy of fame.
incontrovertible,undeniable,+,The evidence is incontrovertible.,She provided incontrovertible proof.,His guilt seemed incontrovertible after the tape.
incredulity,disbelief,N,His face showed clear incredulity at the news.,She met the excuse with incredulity.,There was quiet incredulity at his claim.
incredulous,skeptical,N,He gave her an incredulous look.,She was incredulous at the low price.,The judge remained incredulous throughout.
incursion,intrusion,−,There was a border incursion last night.,Her incursion into his private files angered him.,The bees' incursion into the shed alarmed us.
indecision,inability to decide,−,His indecision cost the team a chance.,She hates her own indecision about jobs.,Indecision froze the whole project.
indecorous,improper,−,His indecorous jokes upset the guests.,The child was scolded for indecorous behavior.,Her indecorous shout drew shocked stares.
indefatigable,tireless,+,She is an indefatigable worker for the charity.,His indefatigable energy inspires the team.,The indefatigable coach leads every drill.
indefinite,unlimited,N,He is on indefinite leave from work.,She gave an indefinite answer to the offer.,The date remains indefinite.
indeterminacy,vagueness,N,The indeterminacy of the timeline worries the team.,She embraces the indeterminacy of the outcome.,There is real indeterminacy in the market.
indict,formally accuse,−,The grand jury indicted him on three counts.,She was indicted for fraud in June.,Reports indicted the whole department.
indifferent,uninterested,−,He is indifferent to fashion.,She was indifferent to her critics.,The food was indifferent at best.
indignant,righteously angry,N,She was indignant at the unfair grade.,His indignant letter reached the mayor.,Indignant crowds protested the ruling.
indiscernible,imperceptible,N,The stain is indiscernible after cleaning.,His accent is indiscernible in that language.,The changes were indiscernible to most viewers.
indiscreet,lacking judgement,−,His indiscreet remarks reached the wrong ears.,She made an indiscreet post on social media.,Indiscreet gossip cost her the job.
indiscriminate,random,−,The bomb caused indiscriminate damage.,She rejects indiscriminate praise as flattery.,Indiscriminate spending broke the budget.
indispensable,essential,+,She is indispensable to the team.,This tool is indispensable in the kitchen.,Trust is indispensable in a marriage.
indisputable,absolutely certain,+,His talent is indisputable.,The facts are indisputable in this case.,There is indisputable proof of the loss.
indolent,lazy,−,He is indolent on Sunday mornings.,The indolent cat slept in the sun.,Her indolent style ended after college.
indubitable,unquestionable,+,His guilt seemed indubitable.,She has indubitable proof of the fraud.,The result was indubitable to any observer.
induce,cause,N,The music induced a sleepy mood.,He tried to induce her to change her mind.,The drug induces temporary calm.
indulgence,allowing yourself to enjoy,−,He allowed himself the indulgence of dessert.,Her indulgence of the child spoiled him.,Chocolate is her one guilty indulgence.
industrious,hardworking,+,He is an industrious student.,The industrious team met every deadline.,She has an industrious approach to chores.
ineffectual,not producing results,−,His efforts to fix the leak were ineffectual.,She gave an ineffectual wave at the wasp.,Ineffectual leadership doomed the project.
ineluctable,inescapable,N,The ineluctable pull of the sea drew him back.,Death is an ineluctable fact.,Her promotion was ineluctable after the win.
inept,incompetent,−,His inept handling of the crisis lost him support.,She felt inept during her first day.,An inept attempt at a joke fell flat.
inessential,not necessary,N,He packed only the inessential items.,Please cut inessential meetings.,Fancy fonts are inessential to the message.
inexplicable,unexplainable,N,His anger was inexplicable to us.,The strange sound had an inexplicable source.,Her sudden move was inexplicable.
infamy,widely known evil,−,His infamy spread across the country.,Her infamy in the industry deters new firms.,The scandal brought lasting infamy.
infelicity,awkward phrasing,−,The infelicity of his phrasing amused the class.,She fixed the infelicity in her essay.,Editors flagged one infelicity per page.
infer,deduce,N,You can infer from his tone that he is upset.,She inferred the answer from the clues.,We should not infer motives without proof.
inflammatory,arousing anger,−,The article had an inflammatory tone.,His inflammatory remarks sparked protest.,Avoid inflammatory language in a debate.
inflate,exaggerate,−,He inflated his salary in the interview.,She inflated the tire before the ride.,Do not inflate the size of the problem.
infuriate,make furious,−,His constant lateness infuriates her.,The delay infuriated the passengers.,Do not infuriate the customer with excuses.
ingenious,cleverly inventive,+,She came up with an ingenious solution.,The device has an ingenious design.,His ingenious plan saved the day.
ingenuous,charmingly honest,+,He gave an ingenuous smile at the question.,Her ingenuous nature won friends easily.,The child asked with ingenuous curiosity.
ingrained,deeply rooted,N,His habits are deeply ingrained.,The rule is ingrained in the culture.,Her manners are ingrained from childhood.
ingratiate,gain favor,−,He tries to ingratiate himself with the boss.,She refuses to ingratiate herself for a promotion.,Do not ingratiate yourself with cheap flattery.
inhabit,live in,N,Many birds inhabit this forest.,She inhabits a small cottage by the sea.,Old memories inhabit the empty house.
inherent,built-in,N,There are inherent risks in the plan.,Trust is inherent in a good marriage.,The word has an inherent negative meaning.
inhibit,hold back,N,Shyness can inhibit new friendships.,The drug inhibits the enzyme's action.,Fear inhibits many talented students.
inimical,hostile,−,The climate is inimical to plant growth here.,His words were inimical to progress.,She felt an inimical presence in the room.
inimitable,unmatchable,+,Her writing style is inimitable.,The chef's dishes have an inimitable flavor.,He has an inimitable stage presence.
injudicious,unwise,−,His injudicious remarks cost him the deal.,She made an injudicious comment about a client.,Injudicious spending drained the fund.
innate,inborn,N,She has an innate sense of rhythm.,He has an innate curiosity about how things work.,The talent seems truly innate.
innocuous,harmless,N,The joke was innocuous but poorly timed.,She asked an innocuous question at first.,The plant looks scary but is innocuous.
inopportune,ill-timed,−,His call came at an inopportune moment.,Rain arrived at an inopportune time.,She apologized for the inopportune visit.
inquisitive,curious,N,The inquisitive child asked endless questions.,She has an inquisitive mind for science.,His inquisitive glance made her feel watched.
insalubrious,unhealthy,−,The room felt insalubrious with dust and damp.,She avoids insalubrious foods.,The city's air can be insalubrious in summer.
insatiable,unsatisfiable,N,He has an insatiable appetite for chess.,Her insatiable curiosity leads her deep into topics.,The market's demand seems insatiable.
inscrutable,unreadable,N,His inscrutable face gave nothing away.,Her motives remain inscrutable to the press.,The old code was inscrutable to modern experts.
insidious,stealthily harmful,−,The insidious disease shows no early signs.,Her insidious lies split the family.,Bias can spread in insidious ways.
insightful,perceptive,+,She gave an insightful review of the plan.,His insightful book is required reading.,The essay is short but insightful.
insignificant,unimportant,−,The change was insignificant to sales.,She felt insignificant in the huge crowd.,The delay is insignificant overall.
insipid,flavorless,−,The soup was thin and insipid.,She gave an insipid speech at the dinner.,The film's plot is insipid and forgettable.
insolent,disrespectfully rude,−,His insolent tone offended the officer.,She gave an insolent reply and left.,The insolent child ignored the warning.
insouciance,carefree unconcern,N,He wore a smile of pure insouciance.,Her insouciance about deadlines worries her boss.,The insouciance of the young star charmed critics.
instinctive,automatic,N,She has an instinctive fear of heights.,His instinctive reaction saved the child.,There was an instinctive trust between them.
instructive,educational,+,The trip was fun and instructive.,She gave an instructive talk on safety.,The book is short but very instructive.
insular,isolated,−,The community is insular and slow to change.,Her insular view ignored other cultures.,The insular committee resisted new ideas.
insulate,protect,+,The walls insulate the house from cold.,She tried to insulate her kids from the news.,New rules insulate workers from harm.
insurmountable,unbeatable,−,The mountain looked insurmountable at first.,She faced insurmountable odds against her.,Their debt seemed insurmountable to the family.
integrate,combine,+,We must integrate the two databases.,She integrates yoga into her mornings.,The school integrates arts into every class.
integrity,honesty,+,He is known for his personal integrity.,She questioned the integrity of the report.,The bridge lost structural integrity in the storm.
intelligibility,understandability,+,The intelligibility of the recording is poor.,She rewrote the note for greater intelligibility.,Fast speech affects intelligibility.
intelligible,understandable,+,His accent is barely intelligible.,She spoke slowly to be intelligible.,The rules should be intelligible to a beginner.
intercept,cut off,N,Police intercepted the smugglers at the border.,She intercepted the ball at midfield.,Officers intercepted the coded message.
interdisciplinary,across fields,N,The program takes an interdisciplinary approach.,She led an interdisciplinary research team.,Interdisciplinary study broadens thinking.
intermediary,go-between,N,He served as an intermediary in the deal.,She acted as an intermediary for the two firms.,An intermediary is often needed in disputes.
interminable,endless,−,The lecture felt interminable.,She waited through an interminable delay.,The interminable meeting bored the staff.
intermittent,on-and-off,N,There was intermittent rain all day.,She experiences intermittent knee pain.,The signal is intermittent in this valley.
interrelate,connect,N,The two ideas interrelate in her essay.,History and economics closely interrelate.,She showed how the parts interrelate.
intertwined,interconnected,N,Their lives were intertwined for decades.,The two plots become intertwined by chapter three.,Health and mood are deeply intertwined.
intractable,hard to manage,−,Poverty is an intractable problem here.,He is intractable when tired.,The intractable pain kept her awake.
intransigent,refusing compromise,−,He is intransigent on the pricing.,The intransigent leader would not budge.,She grew tired of his intransigent stance.
intrepid,fearlessly bold,+,The intrepid explorer crossed the desert alone.,She is an intrepid journalist in war zones.,Intrepid climbers reached the summit at dawn.
intricate,complex,N,The lace has an intricate pattern.,She designed an intricate wooden puzzle.,The plot is intricate but engaging.
intrigue,fascinate,+,The book's title intrigued her.,Palace intrigue toppled the old king.,His mysterious past intrigues the reader.
intrinsic,essential,+,The value is intrinsic to the object.,Freedom is an intrinsic human need.,"Her kindness is intrinsic, not learned."
intuitive,instinctive,+,She has an intuitive sense for design.,His intuitive guess proved correct.,The tool has an intuitive interface.
inundate,overwhelm,−,They were inundated with calls after the ad.,Emails inundated her inbox daily.,Floods inundated the small farm.
invective,abusive language,−,His speech was full of bitter invective.,She endured her rival's public invective.,The article contains sharp invective.
inveigle,deceptively lure,−,He inveigled her into signing the loan.,She was inveigled into a bad deal.,Scammers inveigle victims with warm calls.
inversion,reversal,N,The temperature inversion trapped the smog.,The film uses inversion to twist the plot.,She noted the inversion of the usual order.
inveterate,deeply habitual,−,He is an inveterate gambler.,She is an inveterate reader of mysteries.,His inveterate lies broke the friendship.
invidious,unfairly resentment-causing,−,He made an invidious comparison between the two.,Her invidious remarks turned the room cold.,We should avoid invidious rankings among staff.
invigorate,energize,+,A short walk can invigorate the mind.,The new coach invigorated the whole team.,Cold water in the morning invigorates her.
inviolate,sacredly untouched,+,The pact remains inviolate after decades.,Her right to privacy is inviolate.,The old tomb stayed inviolate for centuries.
involuntary,unwilling,N,An involuntary shiver ran down her spine.,His laughter was involuntary and loud.,Coughing is an involuntary reaction.
irascible,hot-tempered,−,The irascible neighbor shouted at the kids.,She grew irascible during long meetings.,He is irascible when hungry.
ire,anger,−,His remark drew the boss's ire.,She held her ire until the meeting ended.,Public ire followed the price hike.
irenic,promoting peace,+,He wrote an irenic essay on the conflict.,The mediator took an irenic tone.,Her irenic manner helped end the dispute.
irk,irritate,−,His constant humming irks her.,Do not let small things irk you.,The delays irked the whole class.
ironclad,unbreakable,+,The contract has an ironclad clause.,She built an ironclad alibi.,"The rule is ironclad, no exceptions."
irrefutable,undeniable,+,The proof is irrefutable.,She gave an irrefutable argument for the change.,The DNA evidence was irrefutable.
irresolute,indecisive,−,He was irresolute about accepting the job.,Her irresolute leadership frustrated the team.,The irresolute jury deliberated for days.
irreverent,disrespectful,N,His irreverent humor amused most students.,She wrote an irreverent take on politics.,The irreverent tone offended some readers.
itinerant,traveling,N,The itinerant preacher moved from town to town.,She is an itinerant teacher across two states.,Itinerant workers followed the harvest season.
