Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
bemoan,lament,−,He bemoaned the loss of his old job.,She bemoaned the state of modern music.,There is no use bemoaning the past.
bemuse,puzzle,−,The strange request bemused the clerk.,His answer bemused the whole panel.,She was bemused by the child's odd question.
benchmark,standard,N,This test is the benchmark for math skill.,We must benchmark our prices against rivals.,Her novel became the benchmark for the genre.
beneficent,kindly generous,+,The beneficent king was loved by all.,She smiled a beneficent smile at the child.,His beneficent nature drew many friends.
benevolent,well-wishing,+,He is a benevolent boss to his staff.,She gave a benevolent nod of approval.,The benevolent old couple adopted the child.
benign,harmless,+,The tumor was thankfully benign.,He has a benign smile and gentle voice.,The climate is benign year-round here.
berate,scold harshly,−,The coach berated the team after the loss.,She berated him for forgetting the meeting.,Do not berate the child for a small mistake.
bereave,deprive by death,−,The accident bereaved her of her husband.,War bereaves families of their sons.,The illness bereaved him of a dear friend.
bereft,deprived,−,She was bereft of hope after the news.,He felt bereft of any real support.,The town was bereft of its once-busy port.
betoken,signal,N,Dark clouds betoken a storm.,Her sigh betokened deep sadness.,Falling leaves betoken the coming winter.
betray,unintentionally reveal,−,Her voice betrayed her nervousness.,He betrayed his country for money.,A tear betrayed her true feelings.
bewilder,confuse,−,The instructions bewildered the new employee.,She was bewildered by the city's traffic.,His answer only bewildered me further.
bitterness,deep resentment,−,Bitterness poisoned their once-close friendship.,She spoke with bitterness of the divorce.,Time helped ease the bitterness of the loss.
blame,hold responsible,−,Do not blame yourself for the accident.,She placed the blame on her assistant.,He accepted blame for the team's failure.
blatant,completely obvious,−,That was a blatant lie in front of everyone.,He showed blatant disrespect to his elders.,The bias in the article was blatant.
blemish,flaw,−,A small blemish marked the fruit.,This is the only blemish on her record.,Cover the blemish with concealer if needed.
blighted,ruined,−,Disease blighted the entire crop.,War left the town a blighted ruin.,Corruption has blighted their economy.
blithe,carefree,N,She has a blithe attitude about money.,"With blithe disregard, he broke the rule.",He whistled a blithe tune all morning.
block,obstruct,−,A fallen tree blocks the road.,She blocked his call and left the room.,Try not to block the doorway.
blunt,make less sharp,−,Time may blunt the pain of loss.,Her blunt reply hurt his feelings.,Use a blunt knife for spreading butter.
boast,brag,−,He loves to boast about his rich uncle.,She boasted of her top exam score.,Do not boast; let your work speak for itself.
bogus,fake,−,The check turned out to be bogus.,She sold him a bogus antique watch.,He gave a bogus reason for missing work.
boisterous,rowdily energetic,N,The children were boisterous at the party.,A boisterous crowd filled the stadium.,He has a boisterous laugh you can hear anywhere.
bolster,support,+,He bolstered his claim with strong data.,Praise bolstered her confidence.,The government bolstered the failing bank.
bombast,inflated speech,−,His speech was full of empty bombast.,She dismissed the article as pure bombast.,The politician's bombast bored the voters.
bombshell,shocking news,−,His resignation was a real bombshell.,She dropped a bombshell at dinner.,The report was a bombshell for the company.
boon,blessing,+,The rain was a boon after long drought.,Her help was a boon to the family.,This app is a boon for busy parents.
boor,rude person,−,He acted like a boor at the wedding.,She refused to date such a boor.,The boor talked loudly through the film.
boorish,ill-mannered,−,His boorish behavior embarrassed his wife.,She found his jokes rude and boorish.,Do not tolerate boorish comments at work.
bootless,unsuccessful,−,His efforts to find work proved bootless.,It was a bootless attempt to change her mind.,We wasted the day on bootless errands.
bore,tedious person,−,He is a real bore at dinner parties.,Do not be a bore about the same topic.,"She fell asleep, finding the lecture a bore."
boredom,dull weariness,−,Boredom drove him to try painting.,The long meeting brought pure boredom.,She reads to fight afternoon boredom.
bound,limit,N,His generosity knows no bounds.,The village lies within the county's bounds.,She was bound by strict rules.
boundary,limit line,N,The river forms the boundary between states.,She sets clear boundaries at work.,We crossed the boundary at sunset.
bountiful,generously given,+,They enjoyed a bountiful harvest this year.,Nature has been bountiful to this valley.,She thanked God for a bountiful meal.
brackish,slightly salty,−,The well water was brackish and hard to drink.,The pond became brackish near the sea.,Brackish estuaries support unique wildlife.
braggadocio,empty boasting,−,"His speech was all braggadocio, no substance.",She saw through his boyish braggadocio.,Braggadocio does not win real respect.
braggart,boaster,−,No one likes a loud braggart.,The braggart was quickly shown up.,He earned a name as a shameless braggart.
bravado,false boldness,−,His bravado hid genuine fear.,She spoke with bravado but her hands shook.,Youthful bravado led him into trouble.
brave,face bravely,+,They braved the storm to reach home.,She braved the icy pool for charity.,He braved the crowd to give his speech.
brazen,shamelessly bold,−,He told a brazen lie to my face.,Her brazen attitude shocked the teacher.,The brazen theft happened in daylight.
breakthrough,major discovery,+,The team made a breakthrough in cancer research.,Her breakthrough came after years of study.,This is a breakthrough moment for the industry.
brevity,shortness,+,Brevity is the soul of wit.,He is known for the brevity of his emails.,The speech was praised for its brevity.
bridle,restrain,N,She had to bridle her temper.,He bridled his tongue in front of guests.,Bridle your impulses when angry.
broad,wide,N,The river is very broad here.,She has broad shoulders and a strong back.,We need a broad approach to the problem.
broaden,widen,+,Travel broadens the mind.,The road broadens after the tunnel.,We must broaden our customer base.
bromide,empty cliché,−,His advice was just tired bromides.,She rolled her eyes at the bromide.,Do not offer bromides to the grieving.
brook,tolerate,N,She will brook no argument on this matter.,He does not brook disloyalty.,The boss brooks no lateness.
bucolic,rural,+,They dreamed of a bucolic life in the country.,She painted bucolic scenes of sheep and hills.,The bucolic village charmed all visitors.
bumble,mess up,−,He bumbled through his first speech.,She bumbled the introduction badly.,Do not bumble the important details.
buoy,keep afloat,+,His praise buoyed her spirits.,The good news buoyed the whole team.,Warm words buoyed him during the hard week.
buoyancy,cheerful liveliness,+,Her buoyancy lifted the whole office.,The market showed unexpected buoyancy.,He has a natural buoyancy of spirit.
buoyant,cheerful,+,She was in a buoyant mood all day.,The economy remained buoyant despite the shock.,His buoyant attitude is contagious.
burdensome,heavy,−,The taxes became burdensome for small firms.,Her chores felt burdensome that morning.,Caring for the sick can be burdensome.
bureaucracy,official red tape,−,The bureaucracy delayed the permit for months.,She hates the paperwork of bureaucracy.,Government bureaucracy slows any reform.
bureaucratic,red-tape-like,−,The process is unnecessarily bureaucratic.,He resigned to escape the bureaucratic culture.,She wrote a book on bureaucratic reform.
burgeon,grow rapidly,+,The tech industry has burgeoned in the region.,Her confidence began to burgeon in college.,Flowers burgeon after the spring rain.
burlesque,parody,−,The show was a burlesque of court life.,He wrote a burlesque of the senator's speech.,She performed a comic burlesque of the ad.
burnish,polish,+,He burnished his shoes before the interview.,The firm hired a PR agent to burnish its image.,Time burnishes some memories to a glow.
buttress,support,+,Extra staff buttressed the marketing team.,Data buttressed her main argument.,Stone buttresses hold up the cathedral wall.
buyer,purchaser,N,The house has three interested buyers.,She is the chief buyer for the department store.,A cautious buyer inspects everything twice.
byzantine,overly complex,−,The tax code is famously byzantine.,She got lost in the byzantine hallways.,Their byzantine plot confused viewers.
