Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
uniform,consistent,N,The team wears a green uniform.,The rules apply in a uniform way.,Her tone is uniform throughout the essay.
unify,combine into one,+,The reform aims to unify the two agencies.,Her speech unified the divided members.,Music can unify people across cultures.
unimpeachable,beyond reproach,+,Her honesty is unimpeachable.,The evidence is unimpeachable.,The witness gave unimpeachable testimony.
unimpeded,not slowed,+,Traffic flowed unimpeded after the cleanup.,She had unimpeded access to the archive.,The river ran unimpeded through the valley.
unintelligible,unable to understand,−,His mumbled reply was unintelligible.,The old note is nearly unintelligible.,The lecture was unintelligible for beginners.
universal,affecting everyone,N,The theme has universal appeal.,Universal healthcare is her main platform.,The reform brought universal relief.
univocal,single-meaning,+,The rule needs a univocal reading.,She gave a univocal answer to the panel.,Univocal terms avoid legal disputes.
unkempt,messy,−,His hair was unkempt after the flight.,The unkempt garden needed a full day of work.,She looked unkempt after the long night.
unknown,not known,N,The cause of the accident is unknown.,She traveled to an unknown destination.,His father is unknown to him.
unmistakable,unable to be mistaken,+,Her voice is unmistakable on the radio.,His unmistakable talent won the prize.,The smell of jasmine is unmistakable.
unmoved,not touched emotionally,−,He was unmoved by her plea for help.,The judge remained unmoved during the trial.,She was unmoved by the sad ending.
unnecessary,not needed,−,The meeting was unnecessary and long.,Please cut unnecessary details from the report.,His apology was unnecessary but kind.
unnerve,disturb,−,The strange call unnerved her.,His silent stare unnerves the interns.,Loud noises unnerve the horse.
unorthodox,unconventional,N,He uses unorthodox teaching methods.,Her unorthodox career surprised her parents.,The chef takes an unorthodox approach.
unostentatious,not showy,+,His unostentatious style suits the office.,The unostentatious wedding was warm and quiet.,She wore unostentatious jewelry.
unparalleled,without equal,+,She has unparalleled skill in her field.,The view from the peak is unparalleled.,His unparalleled patience helped many students.
unperturbed,unruffled,+,He remained unperturbed by the tough question.,She was unperturbed during the debate.,The unperturbed captain guided the ship.
unprecedented,never before seen,N,The move is unprecedented in company history.,The court set an unprecedented rule.,We face an unprecedented level of demand.
unprepossessing,unimpressive at first,−,The cafe is unprepossessing but the food is great.,His unprepossessing manner hid a sharp mind.,Do not judge the unprepossessing store by its front.
unpretentiousness,natural modesty,+,His unpretentiousness charmed the guests.,The restaurant's unpretentiousness draws locals.,Her unpretentiousness contrasted with her success.
unpropitious,unfavorable,−,They chose an unpropitious date for the launch.,The forecast is unpropitious for a picnic.,She noted the unpropitious start of the year.
unqualified,total,N,The plan was an unqualified success.,She gave unqualified support to the cause.,His unqualified praise pleased the author.
unravel,undo,N,The mystery began to unravel at the end.,She tried to unravel the tangled cord.,His plans unraveled after the first setback.
unrelenting,not letting up,−,The unrelenting heat wilted the flowers.,His unrelenting drive earned him the top job.,She faced unrelenting pressure at work.
unremarkable,ordinary,−,The food was unremarkable but filling.,She gave an unremarkable answer.,The unremarkable street had one hidden gem.
unruliness,disobedience,−,The teacher managed the class's unruliness well.,His unruliness got him sent home.,The unruliness of the crowd surprised the police.
unscrupulous,lacking principles,−,The unscrupulous lawyer bent every rule.,She refused to work with unscrupulous vendors.,An unscrupulous manager cost the firm its name.
unseemly,improper,−,His unseemly behavior embarrassed the family.,The public quarrel was unseemly.,She apologized for the unseemly outburst.
unsteady,shaky,−,His hands were unsteady after the coffee.,The unsteady chair almost tipped over.,Her voice was unsteady during the speech.
unsustainable,unable to last,−,The growth rate is unsustainable long-term.,Their debt level is unsustainable.,The unsustainable practices harm the ecosystem.
unsympathetic,lacking sympathy,−,He was unsympathetic to her situation.,The unsympathetic reply hurt her feelings.,Do not be unsympathetic to grieving friends.
untenable,indefensible,−,His position became untenable after the scandal.,The theory is untenable given the new data.,Their debt made the business untenable.
untethered,unconstrained,N,She feels untethered after leaving her job.,The horse ran untethered across the field.,Their thinking is untethered from reality.
untoward,improper,−,There was nothing untoward in the meeting.,She apologized for any untoward remarks.,The untoward incident was quickly forgotten.
unwavering,firmly steady,+,Her unwavering focus impressed the coach.,He gave unwavering support to his team.,She has unwavering faith in her students.
unwieldy,bulky,−,The old machine is heavy and unwieldy.,She struggled with the unwieldy report.,The rules are too unwieldy for staff to follow.
unyielding,stubbornly firm,N,He is unyielding on the terms.,The unyielding old oak survived the storm.,Her unyielding stance ended the debate.
upbraid,scold sharply,−,The coach upbraided the team after the loss.,She upbraided him for missing the meeting.,He upbraided his son for cheating.
upend,turn upside down,N,The scandal upended the whole industry.,The child upended the box of blocks.,New tech upended traditional retail.
upheaval,violent disturbance,−,The town endured years of political upheaval.,The move caused emotional upheaval for the kids.,Economic upheaval shook the small country.
uphold,maintain,+,Judges must uphold the law.,She upheld her family's honor.,The team upheld its long tradition.
uprightness,moral honesty,+,His uprightness earned him wide respect.,She was known for her uprightness in court.,Uprightness is central to public trust.
upshot,final result,N,The upshot of the meeting was a new plan.,The upshot is that we must start over.,Her decision was the upshot of long thought.
upsurge,sudden rise,N,There was an upsurge in flu cases.,Sales saw an upsurge after the ad.,An upsurge of interest surprised the artist.
urban,city-related,N,The city faces urban planning challenges.,She prefers urban life to the countryside.,Urban growth strained the water supply.
urbane,suavely worldly,+,He is an urbane host at every dinner.,Her urbane style suits the diplomatic role.,The urbane critic wrote for the top magazine.
utilitarian,functionally practical,N,The furniture is utilitarian rather than fancy.,She takes a utilitarian view of gadgets.,The utilitarian design saves space.
utility,usefulness,+,The tool has real utility for gardeners.,She questioned the utility of the report.,Water is a public utility here.
utopia,perfect society,+,The book describes a peaceful utopia.,She dreams of a utopia without hunger.,No plan can build a true utopia.
utter,speak,N,She did not utter a single word.,He uttered a soft sigh.,Do not utter such rude words in class.
