Group Core Meaning,Word,Sense,Meaning,Source,,,,
TRUTH SAYER,soothsayer,+,"Sooth means truth ,someone who makes predictions of the future",XLSX,,,,
ALIENATED / SEPARATED,estrange,,remove from customary environment or associations,XLSX,,,,
AMEND / CORRECT,emendation,,a correction by emending; a correction resulting from critical editing,XLSX,,,,
AMEND / CORRECT,enrich,,make better or improve in quality,XLSX,,,,
AMEND / CORRECT,recast,,"cast again, in a different role",XLSX,,,,
AMEND / CORRECT,revisionist,,a Communist who tries to rewrite Marxism to justify a retreat from the revolutionary position,XLSX,,,,
ANCESTRY / LINEAGE,genealogy,,successive generations of kin,XLSX,,,,
ANCESTRY / LINEAGE,kinfolk,,people descended from a common ancestor,XLSX,,,,
ANCESTRY / LINEAGE,pedigree,,the descendants of one individual,XLSX,,,,
ANCESTRY / LINEAGE,provenance,,where something originated or was nurtured in its early existence,XLSX,,,,
STORY,anecdote,,short account of an incident (especially a biographical one),XLSX,,,,
STORY,exposition,,a systematic interpretation or explanation (usually written) of a specific topic,XLSX,,,,
STORY,legend,,a story about mythical or supernatural beings or events,XLSX,,,,
ANGER,indignant,,"(adj, N) righteously angry (at unfairness) + anger",BOTH,,,,
ANGER,ire,,"(noun, -ve) wrathful + anger",PDF,,,,
ANNOYING / IRRITATING,irk,,irritate or vex,GREG_MAT,,,,
ANNOYING / IRRITATING,nettle,,any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae),GREG_MAT,,,,
ANNOYING / IRRITATING,off-putting,,"The restaurant had great reviews, but the strong smell of bleach at the entrance was highly off putting",XLSX,,,,
ANNOYING / IRRITATING,vexation,,She stomped her foot in vexation when she realized she had locked her keys inside the car.,PDF,,,,
GREED,avarice,,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins),GREG_MAT,,,,
Enthusiasm ,avidity,,a positive feeling of wanting to push ahead with something,XLSX,,,,
APPETITE / GREED,rapacity,,extreme gluttony,GREG_MAT,,,,
APT / RELEVANT,apposite,,"(adj, +ve) strikingly + apt / relevant",PDF,,,,
APT / RELEVANT,apropos,,"(adj/adv, +ve) fittingly + apt / relevant",BOTH,,,,
APT / RELEVANT,felicitous,,"(adj, +ve) happily well-chosen + apt / relevant",BOTH,,,,
APT / RELEVANT,germane,,"(adj, +ve) directly + apt / relevant",BOTH,,,,
APT / RELEVANT,pertinent,,"(adj, +ve) applicably + apt / relevant",BOTH,,,,
ARCHETYPE / STANDARD,benchmark,,"(noun, N) a standard reference point",PDF,,,,
ARCHETYPE / STANDARD,canonical,,appearing in a biblical canon,XLSX,,,,
ARCHETYPE / STANDARD,hallmark,,a distinctive characteristic or attribute,XLSX,,,,
ARCHETYPE / STANDARD,mainstay,,a prominent supporter,XLSX,,,,
ARROGANT,arrogance,,overbearing pride evidenced by a superior manner toward inferiors,XLSX,,,,
ARROGANT,condescend,,behave in a patronizing and condescending manner,XLSX,,,,
ARROGANT,haughty,,"(adj, -ve) proudly looking down + arrogant",PDF,,,,
ARROGANT,hubris,,overbearing pride or presumption,XLSX,,,,
ARROGANT,pomposity,,"(noun, -ve) inflated self-importance (noun) + arrogant",PDF,,,,
ARROGANT,pompous,,puffed up with vanity; ; ; ; - Newsweek,XLSX,,,,
ARROGANT,presumptuous,,"(adj, -ve) overstepping, overconfidently + arrogant",PDF,,,,
ATTENTION,arresting,,"(adj, +ve) strikingly attention-catching",PDF,,,,
ATTENTION,heed,,"(verb/noun, +ve) pay careful attention to",PDF,,,,
ATTENTION,preoccupy,,engage or engross the interest or attention of beforehand or occupy urgently or obsessively,XLSX,,,,
ATTENTION,reference,,a remark that calls attention to something or someone,XLSX,,,,
ATTENTION,vigilance,,the process of paying close and continuous attention,GREG_MAT,,,,
ATTRIBUTE / ASCRIBE,ascribe,,"(verb, N) attribute, credit to a cause",BOTH,,,,
ATTRIBUTE / ASCRIBE,impute,,attribute or credit to,XLSX,,,,
ATTRIBUTE / ASCRIBE,signify,,denote or connote,XLSX,,,,
AUTHENTIC / GENUINE,earnestness,,an earnest and sincere feeling,XLSX,,,,
AUTHENTIC / GENUINE,factuality,,the quality of being actual or based on fact,XLSX,,,,
AUTHENTIC / GENUINE,validity,,the quality of being valid and rigorous,XLSX,,,,
AUTHENTIC / GENUINE,verifiability,,authentic; genuine,XLSX,,,,
AUTHENTIC / GENUINE,verisimilitude,,"(noun, +ve) the convincing appearance of truth",BOTH,,,,
AUTHENTIC / GENUINE,veritable,,"(adj, +ve) truly, actually + genuine",PDF,,,,
AUTHORITY / RULE,canon,,a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy,GREG_MAT,,,,
AUTHORITY / RULE,mandate,,a document giving an official instruction or command,XLSX,,,,
AUTHORITY / RULE,obligatory,,morally or legally constraining or binding,XLSX,,,,
AUTONOMY / INDEPENDENCE,anonymity,,the state of being anonymous,XLSX,,,,
AUTONOMY / INDEPENDENCE,autonomy,,immunity from arbitrary exercise of authority: political independence,XLSX,,,,
AUTONOMY / INDEPENDENCE,isolationism,,a policy of nonparticipation in international economic and political relations,XLSX,,,,
AUTONOMY / INDEPENDENCE,sovereignty,,government free from external control,XLSX,,,,
AVOID,circumspection,,knowing how to avoid embarrassment or distress,GREG_MAT,,,,
AVOID,circumvent,,surround so as to force to give up,XLSX,,,,
AVOID,elude,,"escape, either physically or mentally",XLSX,,,,
AVOID,eschew,,"(verb, N) deliberately abstain from (principled) + avoid",BOTH,,,,
AVOID,evade,,"(verb, -ve) slipperily dodge + avoid",BOTH,,,,
AVOID,forbear,,"(verb, +ve) patiently refrain, hold back",BOTH,,,,
AVOID,shirk,,"(verb, -ve) dodging one's duty + avoid",PDF,,,,
AVOID,shun,,avoid and stay away from deliberately; stay clear of,XLSX,,,,
AVOID,sidestep,,a step to one side (as in boxing or dancing),XLSX,,,,
AVOID,skirt,,"(verb/noun, N) go around the edges of + avoid",BOTH,,,,
AWE / WONDER,admiration,,a feeling of delighted approval and liking,XLSX,,,,
AWE / WONDER,wondrous,,extraordinarily good or great ; used especially as intensifiers,XLSX,,,,
BARREN / UNPRODUCTIVE,fallow,,"(adj, N) deliberately resting, uncultivated + barren / unproductive",PDF,,,,
BARREN / UNPRODUCTIVE,fruitless,,unproductive of success,XLSX,,,,
BEG / PLEAD,entreat,,"(verb, N) earnestly + beg / plead",BOTH,,,,
BEG / PLEAD,importunate,,expressing earnest entreaty,XLSX,,,,
BEG / PLEAD,supplicate,,"(verb, N) humbly, prayerfully + beg / plead",PDF,,,,
BELIEF,conviction,,"(noun, N) firm belief | a guilty verdict",BOTH,,,,
BELIEF,delusion,,"(noun, -ve) a persistent false belief",PDF,,,,
BELIEF,doctrine,,a belief (or system of beliefs) accepted as authoritative by some group or school,GREG_MAT,,,,
BELIEF,dogma,,a religious doctrine that is proclaimed as true without proof,GREG_MAT,,,,
BELIEF,generality,,an idea or conclusion having general application,XLSX,,,,
BELIEVABLE,believability,,the quality of being believable or trustworthy,XLSX,,,,
BELIEVABLE,conceivable,,capable of being imagined,XLSX,,,,
BELIEVABLE,credibility,,the quality of being believable or trustworthy,XLSX,,,,
BELIEVABLE,plausible,,"(adj, N) seemingly (not necessarily true) + believable",BOTH,,,,
BELITTLE / DISPARAGE,debase,,"(verb, -ve) degrade, cheapen + belittle / disparage",PDF,,,,
BELITTLE / DISPARAGE,denigrate,,"(verb, -ve) blacken someone's name + belittle / disparage",BOTH,,,,
BELITTLE / DISPARAGE,deprecate,,"(verb, -ve) disapprovingly + belittle / disparage",BOTH,,,,
BELITTLE / DISPARAGE,derogatory,,expressive of low opinion,XLSX,,,,
BELITTLE / DISPARAGE,disparage,,express a negative opinion of,XLSX,,,,
BELITTLE / DISPARAGE,downplay,,represent as less significant or important,XLSX,,,,
BELITTLE / DISPARAGE,marginalize,,"(verb, -ve) push to the sidelines + belittle / disparage",PDF,,,,
BELITTLE / DISPARAGE,minimize,,make small or insignificant,XLSX,,,,
BELITTLE / DISPARAGE,pejorative,,"(adj, -ve) a disparaging term (adj) + belittle / disparage",BOTH,,,,
BELITTLE / DISPARAGE,understate,,represent as less significant or important,GREG_MAT,,,,
BENEFICIAL / HARMLESS,advantageous,,giving an advantage,XLSX,,,,
BENEFICIAL / HARMLESS,benign,,"(adj, +ve) kindly, harmlessly + beneficial / harmless",BOTH,,,,
BENEFICIAL / HARMLESS,healthful,,conducive to good health of body or mind,XLSX,,,,
BENEFICIAL / HARMLESS,innocuous,,"(adj, N) merely harmless, inoffensive + beneficial / harmless",BOTH,,,,
BENEFICIAL / HARMLESS,salubrious,,"(adj, +ve) health-promotingly + beneficial / harmless",BOTH,,,,
BENEFICIAL / HARMLESS,salutary,,"(adj, +ve) wholesomely (even if unpleasant) + beneficial / harmless",BOTH,,,,
BIASED,chauvinistic,,"(adj, -ve) aggressively, blindly biased for one's group",BOTH,,,,
BIASED,discriminatory,,being biased or having a belief or attitude formed beforehand,XLSX,,,,
BIASED,invidious,,"(adj, -ve) unfairly resentment-causing + biased",BOTH,,,,
BIASED,partial,,"(adj, -ve) favoring one side + biased | also: incomplete",PDF,,,,
BIASED,partisan,,a fervent and even militant proponent of something,XLSX,,,,
BIASED,prejudice,,a partiality that prevents objective consideration of an issue or situation,XLSX,,,,
BIASED,subjective,,"(adj, N) personally colored + biased",PDF,,,,
BIASED,tendentious,,"(adj, -ve) agenda-pushingly + biased",BOTH,,,,
BITING / SHARP,acerbic,,sour or bitter in taste,XLSX,,,,
BITING / SHARP,astringent,,"(adj, -ve) severely sharp + harsh",BOTH,,,,
BITING / SHARP,caustic,,"(adj, -ve) corrosively sarcastic + biting / sharp",PDF,,,,
BITING / SHARP,mordant,,"(adj, -ve) bitingly sarcastic + biting / sharp",PDF,,,,
BITING / SHARP,trenchant,,"(adj, +ve) incisively sharp (praised in analysis) + biting / sharp",BOTH,,,,
BITING / SHARP,vitriolic,,harsh or corrosive in tone,XLSX,,,,
BLUNDER / MISHAP,contretemps,,"(noun, -ve) an embarrassing + blunder / mishap",PDF,,,,
BLUNDER / MISHAP,gaffe,,"(noun, -ve) a social + blunder / mishap",BOTH,,,,
BLUNDER / MISHAP,lapse,,a mistake resulting from inattention,XLSX,,,,
BOLD,assertiveness,,aggressive self-assurance; given to making bold assertions,XLSX,,,,
BOLD,audacious,,"(adj, N) daringly (admirable or shameless) + bold",BOTH,,,,
BOLD,brave,,a North American Indian warrior,XLSX,,,,
BOLD,brazen,,"(adj, -ve) shamelessly + bold",PDF,,,,
BOLD,courageous,,possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth,XLSX,,,,
BOLD,fearless,,oblivious of dangers or perils or calmly resolute in facing them,XLSX,,,,
BOLD,foolhardy,,"(adj, -ve) recklessly, stupidly + bold",PDF,,,,
BOLD,heroic,,a verse form suited to the treatment of heroic or elevated themes; dactylic hexameter or iambic pentameter,XLSX,,,,
BOLD,intrepid,,"(adj, +ve) fearlessly + bold",BOTH,,,,
BOLD,mettle,,the courage to carry on,GREG_MAT,,,,
BOLD,plucky,,"(adj, +ve) spiritedly, against odds + bold",PDF,,,,
BOLD,temerity,,"(noun, -ve) reckless nerve (noun) + bold",PDF,,,,
BOLD,unflinching,,not shrinking from danger,XLSX,,,,
BOLD,valor,,"(noun, +ve) battle-worthy courage (noun) + bold",PDF,,,,
BORING / BORED,boredom,,the feeling of being bored by something tedious,XLSX,,,,
BORING / BORED,ennui,,"(noun, -ve) world-weary listlessness (noun) + boring / bored",PDF,,,,
BORING / BORED,monotonous,,"(adj, -ve) repetitively + boring / bored",BOTH,,,,
BORING / BORED,tedious,,"(adj, -ve) tiresomely + boring / bored",BOTH,,,,
BORING / BORED,tedium,,the feeling of being bored by something tedious,XLSX,,,,
BORING / BORED,tiresome,,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain,XLSX,,,,
BORING / BORED,wearisome,,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain,XLSX,,,,
BOSSY / COMMANDING,autocratic,,offensively self-assured or given to exercising usually unwarranted power,XLSX,,,,
BOSSY / COMMANDING,despot,,a cruel and oppressive dictator,GREG_MAT,,,,
BOSSY / COMMANDING,imperious,,"(adj, -ve) bossily, commandingly + arrogant",BOTH,,,,
BULKY / HEAVY,cumbersome,,"(adj, -ve) unwieldily + bulky / heavy",BOTH,,,,
BULKY / HEAVY,ponderous,,"(adj, -ve) clumsily + bulky / heavy | also: dull, labored",BOTH,,,,
BULKY / HEAVY,ponderousness,,an oppressive quality that is laborious and solemn and lacks grace or fluency,XLSX,,,,
BULKY / HEAVY,unwieldy,,difficult to use or handle or manage because of size or weight or shape,XLSX,,,,
CALM,aplomb,,"(noun, +ve) poise under pressure (noun) + calm",PDF,,,,
CALM,equable,,not varying,XLSX,,,,
CALM,imperturbable,,"(adj, +ve) unshakably + calm",BOTH,,,,
CALM,placid,,"(adj, +ve) peacefully + calm",BOTH,,,,
CALM,poise,,"(noun/verb, +ve) balanced composure (noun) + calm",PDF,,,,
CALM,serene,,"(adj, +ve) gracefully + calm",PDF,,,,
CALM,staid,,"(adj, N) dully sedate (respectable but boring) + calm",PDF,,,,
CALM,temperate,,(of weather or climate) free from extremes; mild; or characteristic of such weather or climate,XLSX,,,,
CALM,tranquil,,"(adj, +ve) restfully + calm",BOTH,,,,
CALM,unperturbed,,free from emotional agitation or nervous tension; ; - Anthony Trollope,XLSX,,,,
CALM,unruffled,,free from emotional agitation or nervous tension; ; - Anthony Trollope,XLSX,,,,
CANCEL / INVALIDATE,abrogate,,"(verb, N) formally repeal + cancel / invalidate",PDF,,,,
CANCEL / INVALIDATE,countermand,,a contrary command cancelling or reversing a previous command,XLSX,,,,
CANCEL / INVALIDATE,invalidate,,declare invalid,XLSX,,,,
CANCEL / INVALIDATE,negate,,be in contradiction with,XLSX,,,,
CANCEL / INVALIDATE,neutralize,,"(verb, N) counteract + cancel / invalidate",PDF,,,,
CANCEL / INVALIDATE,nullify,,"(verb, N) render void + cancel / invalidate",BOTH,,,,
CAPTIVATE / CHARM,allure,,the power to entice or attract through personal charm,XLSX,,,,
CAPTIVATE / CHARM,beguile,,"(verb, N) charmingly + deceive",BOTH,,,,
CAPTIVATE / CHARM,captivate,,attract; cause to be enamored,XLSX,,,,
CAPTIVATE / CHARM,enamor,,attract; cause to be enamored,XLSX,,,,
CAPTIVATE / CHARM,enchant,,"(verb, +ve) magically + captivate / charm",BOTH,,,,
CAPTIVATE / CHARM,enthrall,,"(verb, +ve) spellbindingly + captivate / charm",PDF,,,,
CAPTIVATE / CHARM,fascinate,,cause to be interested or curious,XLSX,,,,
CAPTIVATE / CHARM,mesmerize,,"attract strongly, as if with a magnet",XLSX,,,,
CAPTIVATE / CHARM,rivet,,ornament consisting of a circular rounded protuberance (as on a vault or shield or belt),XLSX,,,,
CARELESS,careless,,marked by lack of attention or consideration or forethought or thoroughness; not careful,XLSX,,,,
CARELESS,cavalier,,"(adj, -ve) dismissively, carelessly + indifferent",BOTH,,,,
CARELESS,cursory,,"(adj, -ve) hastily superficial + careless",BOTH,,,,
CARELESS,lax,,"(adj, -ve) slackly + careless",PDF,,,,
CARELESS,negligent,,"(adj, -ve) neglectfully + careless",PDF,,,,
CARELESS,perfunctory,,"(adj, -ve) going through the motions + careless",BOTH,,,,
CARELESS,shoddy,,reclaimed wool fiber,XLSX,,,,
CARELESS,slapdash,,marked by great carelessness,XLSX,,,,
CARELESS,slovenly,,"(adj, -ve) messily untidy + careless",PDF,,,,
CATALYST / PROVOKE,catalyst,,(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected,XLSX,,,,
CATALYST / PROVOKE,entice,,provoke someone to do something through (often false or exaggerated) promises or persuasion,XLSX,,,,
CATALYST / PROVOKE,tempt,,dispose or incline or entice to,XLSX,,,,
CATALYST / PROVOKE,temptation,,something that seduces or has the quality to seduce,XLSX,,,,
CAUSE / BRING ABOUT,cause,,events that provide the generative force that is the origin of something,XLSX,,,,
CAUSE / BRING ABOUT,engender,,"(verb, N) give rise to + cause / bring about",BOTH,,,,
CAUSE / BRING ABOUT,generate,,bring into existence,XLSX,,,,
CAUSE / BRING ABOUT,induce,,"(verb, N) persuasively + cause / bring about",BOTH,,,,
CAUSE / BRING ABOUT,precipitate,,"(verb/adj, -ve) hastily + reckless / rash | also: trigger, hasten (verb)",BOTH,,,,
CAUSE / BRING ABOUT,trigger,,lever that activates the firing mechanism of a gun,XLSX,,,,
CAUTIOUS,caution,,the trait of being cautious; being attentive to possible danger,XLSX,,,,
CAUTIOUS,cautious,,people who are fearful and cautious,XLSX,,,,
CAUTIOUS,cautiousness,,the trait of being cautious; being attentive to possible danger,XLSX,,,,
CAUTIOUS,chary,,"(adj, N) warily reluctant + cautious",PDF,,,,
CAUTIOUS,circumspect,,"(adj, +ve) looking all around, carefully + cautious",BOTH,,,,
CAUTIOUS,discreet,,"(adj, +ve) tactfully + cautious",PDF,,,,
CAUTIOUS,pre-cautious,,(GRE vocabulary term),XLSX,,,,
CAUTIOUS,prudent,,"(adj, +ve) wisely + cautious",BOTH,,,,
CAUTIOUS,vigilant,,"(adj, +ve) watchfully alert + cautious",PDF,,,,
CAUTIOUS,wariness,,the trait of being cautious and watchful,XLSX,,,,
CAUTIOUS,wary,,"(adj, N) on guard + cautious",BOTH,,,,
CENTRALIZE / SYSTEMATIZE,centralize,,make central,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,codify,,"organize into a code or system, such as a body of law",XLSX,,,,
CENTRALIZE / SYSTEMATIZE,govern,,bring into conformity with rules or principles or usage; impose regulations,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,regulate,,"fix or adjust the time, amount, degree, or rate of",XLSX,,,,
CENTRALIZE / SYSTEMATIZE,standardization,,the condition in which a standard has been successfully established,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,stratification,,the act or process or arranging persons into classes or social strata,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,stratify,,divide society into social classes or castes,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,structure,,a thing constructed; a complex entity constructed of many parts,XLSX,,,,
CENTRALIZE / SYSTEMATIZE,systemic,,affecting an entire system,XLSX,,,,
CHANGEABLE / FICKLE,caprice,,a sudden desire,GREG_MAT,,,,
CHANGEABLE / FICKLE,capricious,,"(adj, -ve) impulsively, on a whim + changeable / fickle",BOTH,,,,
CHANGEABLE / FICKLE,desultory,,"(adj, -ve) aimlessly, randomly + changeable / fickle",PDF,,,,
CHANGEABLE / FICKLE,erratic,,"(adj, -ve) unpredictably inconsistent + changeable / fickle",BOTH,,,,
CHANGEABLE / FICKLE,fickle,,"(adj, -ve) unreliably + changeable / fickle",BOTH,,,,
CHANGEABLE / FICKLE,flighty,,guided by whim and fancy,XLSX,,,,
CHANGEABLE / FICKLE,fluctuation,,a wave motion,XLSX,,,,
CHANGEABLE / FICKLE,inconstancy,,unfaithfulness by virtue of being unreliable or treacherous,XLSX,,,,
CHANGEABLE / FICKLE,inconstant,,likely to change frequently often without apparent or cogent reason; variable; ; ; - Shakespeare,XLSX,,,,
CHANGEABLE / FICKLE,mercurial,,"(adj, N) quicksilver-moody + changeable / fickle",BOTH,,,,
CHANGEABLE / FICKLE,mutability,,the quality of being capable of mutation,XLSX,,,,
CHANGEABLE / FICKLE,mutable,,capable of or tending to change in form or quality or nature,XLSX,,,,
CHANGEABLE / FICKLE,volatile,,"(adj, -ve) explosively unstable + agitated / stormy",BOTH,,,,
CHANGEABLE / FICKLE,whim,,a sudden desire,XLSX,,,,
CHANGEABLE / FICKLE,whimsical,,"(adj, N) playfully fanciful + changeable / fickle",BOTH,,,,
CHANGEABLE / FICKLE,whimsy,,an odd or fanciful or capricious idea,GREG_MAT,,,,
CHEERFUL,blithe,,"(adj, N) carefreely (can imply careless) + cheerful",BOTH,,,,
CHEERFUL,buoyancy,,cheerfulness that bubbles to the surface,XLSX,,,,
CHEERFUL,buoyant,,"(adj, +ve) bouncily + cheerful | also: floating",PDF,,,,
CHEERFUL,ebullience,,overflowing with eager enjoyment or approval,XLSX,,,,
CHEERFUL,ebullient,,"(adj, +ve) bubbling over, exuberantly + cheerful",BOTH,,,,
CHEERFUL,elate,,fill with high spirits; fill with optimism,XLSX,,,,
CHEERFUL,elated,,"(adj, +ve) overjoyed, thrilled + cheerful",PDF,,,,
CHEERFUL,euphoria,,a feeling of great (usually exaggerated) elation,GREG_MAT,,,,
CHEERFUL,euphoric,,"(adj, +ve) intensely, ecstatically + cheerful",PDF,,,,
CHEERFUL,jocund,,"(adj, +ve) merrily + cheerful",PDF,,,,
CHEERFUL,jovial,,full of or showing high-spirited merriment; ; - Wordsworth,XLSX,,,,
CHEERFUL,jubilant,,joyful and proud especially because of triumph or success,XLSX,,,,
CHEERFUL,jubilation,,a feeling of extreme joy,XLSX,,,,
CHEERFUL,mirthful,,full of or showing high-spirited merriment; ; - Wordsworth,XLSX,,,,
CHEERFUL,sanguine,,"(adj, +ve) optimistically + cheerful",BOTH,,,,
CHEERFUL,sanguinity,,feeling sanguine; optimistically cheerful and confident,XLSX,,,,
CHEERFUL,vivacious,,"(adj, +ve) lively, spiritedly + cheerful",PDF,,,,
CLARIFY / EXPLAIN,clarify,,make clear and (more) comprehensible,XLSX,,,,
CLARIFY / EXPLAIN,delineate,,"(verb, N) precisely outline + clarify / explain",BOTH,,,,
CLARIFY / EXPLAIN,elucidate,,"(verb, +ve) shed light on + clarify / explain",BOTH,,,,
CLARIFY / EXPLAIN,explain,,make plain and comprehensible,XLSX,,,,
CLARIFY / EXPLAIN,explicate,,make plain and comprehensible,XLSX,,,,
CLARIFY / EXPLAIN,illuminate,,make lighter or brighter,XLSX,,,,
CLEAR,clear,,the state of being free of suspicion,XLSX,,,,
CLEAR,clear-cut,,remove all the trees at one time,XLSX,,,,
CLEAR,intelligible,,"(adj, +ve) understandably + clear",BOTH,,,,
CLEAR,limpid,,"(adj, +ve) transparently + clear",BOTH,,,,
CLEAR,lucid,,"(adj, +ve) logically + clear",BOTH,,,,
CLEAR,lucidity,,free from obscurity and easy to understand; the comprehensibility of clear expression,XLSX,,,,
CLEAR,pellucid,,"(adj, +ve) crystal + clear",BOTH,,,,
CLEAR,perspicuous,,(of language) transparently clear; easily understandable; ; ; - Robert Burton,XLSX,,,,
CLEAR,straightforward,,free from ambiguity,XLSX,,,,
CLEAR,transparent,,transmitting light; able to be seen through with clarity,XLSX,,,,
CLEAR,unambiguous,,having or exhibiting a single clearly defined meaning; - Mario Vargas Llosa,XLSX,,,,
CLEAR OF BLAME,absolve,,grant remission of a sin to,XLSX,,,,
CLEAR OF BLAME,exculpate,,"(verb, +ve) prove innocent + clear of blame",PDF,,,,
CLEAR OF BLAME,exculpation,,a defense of some offensive behavior or some failure to keep a promise etc.,XLSX,,,,
CLEAR OF BLAME,exculpatory,,clearing of guilt or blame,XLSX,,,,
CLEAR OF BLAME,exonerate,,"(verb, +ve) officially absolve + clear of blame",BOTH,,,,
CLEAR OF BLAME,vindicate,,show to be right by providing justification or proof,XLSX,,,,
CLEAR OF BLAME,vindication,,the act of vindicating or defending against criticism or censure etc.,XLSX,,,,
CLEVER / INVENTIVE,clever,,showing self-interest and shrewdness in dealing with others,XLSX,,,,
CLEVER / INVENTIVE,creative,,having the ability or power to create,XLSX,,,,
CLEVER / INVENTIVE,creativity,,the ability to create,XLSX,,,,
CLEVER / INVENTIVE,ingenious,,"(adj, +ve) brilliantly + clever / inventive",BOTH,,,,
CLEVER / INVENTIVE,ingenuity,,the power of creative imagination,XLSX,,,,
CLEVER / INVENTIVE,inventive,,(used of persons or artifacts) marked by independence and creativity in thought or action; ; - Lewis Mumford,XLSX,,,,
CLEVER / INVENTIVE,inventiveness,,the power of creative imagination,XLSX,,,,
CLEVER / INVENTIVE,resourcefulness,,the quality of being able to cope with a difficult situation,XLSX,,,,
CLUMSY / INEPT,awkward,,causing inconvenience,XLSX,,,,
CLUMSY / INEPT,bumble,,"make a mess of, destroy or ruin",XLSX,,,,
CLUMSY / INEPT,clumsy,,lacking grace in movement or posture,XLSX,,,,
CLUMSY / INEPT,gauche,,"(adj, -ve) socially tactlessly + clumsy / inept",PDF,,,,
CLUMSY / INEPT,gawky,,"(adj, -ve) awkwardly + clumsy / inept",PDF,,,,
CLUMSY / INEPT,inept,,"(adj, -ve) incompetently + clumsy / inept",PDF,,,,
CLUMSY / INEPT,maladroit,,not adroit,XLSX,,,,
CLUMSY / INEPT,ungainly,,lacking grace in movement or posture,XLSX,,,,
COAX / PERSUADE,cajole,,"(verb, N) flatteringly + coax / persuade",BOTH,,,,
COAX / PERSUADE,coax,,a transmission line for high-frequency signals,XLSX,,,,
COAX / PERSUADE,inveigle,,"(verb, -ve) deceptively entice + coax / persuade",PDF,,,,
COAX / PERSUADE,persuade,,win approval or support for,XLSX,,,,
COAX / PERSUADE,wheedle,,"(verb, -ve) manipulatively sweet-talk + coax / persuade",PDF,,,,
COMPASSIONATE,commiserate,,"(verb, +ve) sympathize together (verb) + compassionate",BOTH,,,,
COMPASSIONATE,compassion,,a deep awareness of and sympathy for another's suffering,XLSX,,,,
COMPASSIONATE,compassionate,,share the suffering of,XLSX,,,,
COMPASSIONATE,empathetic,,"(adj, +ve) feelingly, understandingly + compassionate",PDF,,,,
COMPASSIONATE,forbearance,,good-natured tolerance of delay or incompetence,XLSX,,,,
COMPASSIONATE,leniency,,mercifulness as a consequence of being lenient or tolerant,XLSX,,,,
COMPASSIONATE,merciful,,showing or giving mercy,XLSX,,,,
