Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
verifiable,checkable,+,The claim must be verifiable to publish.,She provided verifiable references.,Only verifiable facts belong in the report.
verify,confirm,+,Please verify your address before we ship.,She verified the numbers with the auditor.,Doctors verify results before diagnosis.
verisimilitude,appearance of truth,+,The novel has strong verisimilitude.,Her account has clear verisimilitude.,The film's verisimilitude drew critics' praise.
veritable,truly genuine,+,She is a veritable expert in the field.,The garden is a veritable paradise in June.,His talent is a veritable gift.
versatile,many-skilled,+,The tool is versatile and useful.,She is a versatile actor across genres.,His versatile mind fits any team.
verve,enthusiastic flair,+,She sings with real verve.,His writing has verve and speed.,The team played with verve after the break.
vestige,leftover trace,N,There is not a vestige of his old life left.,The old castle is a vestige of the past.,The scar was the last vestige of the fall.
vexation,irritation,−,She sighed in vexation at the delay.,His constant tapping caused her vexation.,There was clear vexation in her tone.
viable,workable,+,The plan is not viable on this budget.,She proposed a viable alternative.,The seedling is now viable and growing.
vibrant,vigorously lively,+,She has a vibrant personality.,The city has a vibrant art scene.,The vibrant colors caught every eye.
vicious,brutally cruel,−,He gave a vicious kick to the door.,The vicious rumor spread quickly.,She avoided the vicious dog on the corner.
vigilant,watchfully alert,+,Guards remained vigilant through the night.,Parents must be vigilant about online safety.,The vigilant nurse noticed the change first.
vigorous,energetically forceful,+,She began a vigorous exercise routine.,He gave a vigorous defense of the plan.,The vigorous debate ran late into the night.
vilify,paint as villain,−,Rivals tried to vilify her in the press.,Do not vilify the whole group for one mistake.,The article vilifies the honest official.
vindicate,prove right,+,The new evidence vindicated her claim.,History will vindicate his risky choice.,She was fully vindicated by the report.
violate,break a rule,−,He violated the safety code twice.,Do not violate the terms of the contract.,She violated no laws in her research.
violation,breach,−,He was fined for a traffic violation.,The audit found several violations.,Her rights were in clear violation.
violent,forcefully aggressive,−,The violent storm damaged many houses.,He rejected any violent solution.,Violent scenes upset younger viewers.
virtue,moral goodness,+,Patience is her greatest virtue.,She spoke of the virtue of hard work.,There is virtue in a quiet life.
virtuosity,technical skill,+,His virtuosity on the piano is famous.,She showed virtuosity in her debut.,The chef's virtuosity dazzled the critics.
virulent,poisonously hostile,−,He wrote a virulent letter to the editor.,The virulent strain spread quickly.,Her virulent criticism startled the panel.
visionary,forward-seeing dreamer,+,He is a visionary in tech design.,Her visionary plans changed the city.,The visionary founder built a lasting brand.
vital,crucial,+,Sleep is vital to good health.,She plays a vital role in the team.,Her testimony is vital to the case.
vitiate,spoil validity,−,A missing signature can vitiate the contract.,His bias vitiated the whole study.,Do not vitiate the results with poor data.
vitriolic,harshly corrosive,−,He wrote a vitriolic review of her novel.,Her vitriolic tone alarmed the panel.,The vitriolic debate ended the friendship.
vituperation,abusive language,−,His vituperation shocked the panel.,She endured public vituperation for the article.,The letter was full of vituperation.
vivacious,lively cheerful,+,She is a vivacious host at every party.,His vivacious spirit fills the room.,The vivacious child charmed the teachers.
vocational,job-training related,N,He attended a vocational school for welding.,She teaches vocational skills to adults.,Vocational training opens many career doors.
vociferous,vehemently outspoken,N,He is a vociferous critic of the plan.,Her vociferous fans filled the stadium.,The vociferous debate lasted hours.
volatile,explosively unstable,−,The market has been volatile all week.,His volatile temper drove staff away.,She avoided the volatile chemicals.
voluble,fluently talkative,+,He is a voluble host at family dinners.,Her voluble style suits podcast interviews.,The voluble guide told endless stories.
voluntarily,willingly,N,She voluntarily gave up her seat.,He voluntarily joined the cleanup crew.,She voluntarily reported the mistake.
voracious,greedily eager,+,He is a voracious reader of history.,She has a voracious appetite for details.,The voracious young fans crowded the star.
vulnerable,easily hurt,−,The village is vulnerable to floods.,She felt vulnerable after the loss.,Old software is vulnerable to hackers.
