Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
master,expert,+,"She is a master of the piano.","He mastered French in one year.","The master craftsman trained many students."
match,pair,N,"Her skill is a match for anyone's.","She lit a match to start the fire.","Their goals do not match his."
materialism,love of possessions,−,"He rejected the materialism of the city.","Her essay critiques modern materialism.","Holiday materialism can crowd out warmth."
materialize,come into being,N,"His promises never materialized.","The rumor of a raise did not materialize.","She hoped the funds would materialize soon."
maudlin,mawkishly sentimental,−,"He grew maudlin after two drinks.","The film's ending is maudlin and heavy.","Her maudlin speech embarrassed the room."
maverick,independent thinker,+,"She is a maverick in the field of physics.","The maverick senator often votes alone.","He built a career as a maverick director."
mawkish,sickly sweet,−,"The song's lyrics are mawkish and thin.","She rewrote the mawkish opening scene.","His mawkish gift felt insincere."
meager,scanty,−,"They lived on a meager income.","The reward was meager for such hard work.","She served a meager breakfast to guests."
meddle,interfere,−,"Do not meddle in his personal life.","She refused to meddle in office politics.","Neighbors meddled in the family dispute."
mediate,arbitrate,+,"She mediates disputes between neighbors.","A judge will mediate the settlement.","He tried to mediate the tense meeting."
mediocre,average,−,"The food was mediocre and bland.","He gave a mediocre performance on stage.","She refuses to accept mediocre work."
megalomaniacal,power-obsessed,−,"His megalomaniacal plans alarmed the board.","She wrote about a megalomaniacal ruler.","The villain gives a megalomaniacal speech."
melancholic,deeply sad,−,"The song has a melancholic tone.","She felt melancholic on the rainy day.","His melancholic paintings sell well."
meld,blend,N,"The two styles meld nicely in her design.","She melded folk and jazz on the album.","Ideas melded during the long meeting."
mendacious,lying,−,"His mendacious testimony was exposed.","She refused to work with mendacious sellers.","A mendacious politician loses trust fast."
mercenary,money-driven,−,"He took the job for mercenary reasons.","The mercenary lawyer chased any client.","She rejected his mercenary approach to art."
merciful,forgiving,+,"The judge was merciful with the young offender.","She gave him a merciful nod of forgiveness.","A merciful winter spared the crops."
mercurial,fickle,−,"His mercurial moods worry his coworkers.","The market was mercurial all week.","She has a mercurial temperament."
meretricious,tawdrily flashy,−,"The film has meretricious charm but no depth.","She avoided the meretricious jewels.","His prose is meretricious rather than fine."
merit,worth,+,"The plan has real merit.","He was promoted on merit alone.","Her essay merits a second read."
mesmerize,captivate,+,"The dancer mesmerized the audience.","She was mesmerized by the sunset.","His voice mesmerized every listener."
metamorphose,transform,N,"The caterpillar metamorphoses into a butterfly.","She metamorphosed from shy to bold.","The town metamorphosed into a tech hub."
metaphor,symbolic comparison,N,"He used war as a metaphor for the debate.","The book relies on nature metaphors.","She wrote a poem full of ocean metaphors."
methodical,orderly,+,"She has a methodical approach to research.","His methodical style suits accounting.","A methodical review found every error."
meticulous,precisely careful,+,"He is meticulous about his notes.","She kept meticulous records for years.","The chef is meticulous with knife work."
mettle,courage,+,"She showed real mettle in the crisis.","His mettle was tested during the storm.","Team sports build mettle in kids."
mimic,copy,N,"He can mimic any teacher's voice.","She mimics birds for her podcast.","The parrot mimics household sounds."
minimal,least possible,N,"The change has minimal effect on cost.","She wore minimal makeup to the gym.","The design has a minimal aesthetic."
ministration,helpful attention,+,"Her ministrations comforted the ill child.","The nurse's ministrations saved the man.","Kind ministrations eased his final days."
minor,lesser,N,"There was a minor issue with the plan.","She played a minor role in the play.","The minor injury healed quickly."
minuscule,tiny,N,"The print on the label is minuscule.","She noticed a minuscule crack in the glass.","His share is minuscule but symbolic."
minute,extremely small,N,"He noticed the minute change in her tone.","She kept minute records of every call.","The plan has minute details."
mirror,reflect,N,"Sales mirror the season's weather.","She looked in the mirror and smiled.","His words mirror her own thoughts."
mirthful,cheerfully merry,+,"He gave a mirthful laugh at the joke.","She wrote a mirthful account of the trip.","Mirthful voices filled the small pub."
misanthropic,hating humanity,−,"His misanthropic outlook drove friends away.","She wrote a misanthropic essay on modern life.","The old man grew misanthropic over time."
misapply,use wrongly,−,"Do not misapply the rules to this case.","She misapplied the theory to her data.","The tool was misapplied in the project."
misapprehend,misunderstand,−,"He misapprehended her intent from the note.","Do not misapprehend my silence as anger.","She misapprehended the deadline by a week."
mischaracterizing,misjudging,−,"He is mischaracterizing her position badly.","The article is mischaracterizing the vote.","Please stop mischaracterizing my remarks."
misconception,mistaken idea,−,"There is a common misconception about the disease.","She corrected his misconception politely.","Her book challenges old misconceptions."
misconstrue,misinterpret,−,"Do not misconstrue her silence as agreement.","He misconstrued the email as an insult.","She was often misconstrued in the press."
miscreant,wrongdoer,−,"The miscreant slipped out the back door.","Police warned residents about the miscreant.","A miscreant broke into the shop overnight."
misgiving,doubt,−,"She had misgivings about the trip.","His misgivings proved correct in the end.","Despite misgivings, he signed the deal."
mishandle,handle badly,−,"The bank mishandled her account.","Do not mishandle fragile packages.","She was fired for mishandling the account."
misinterpret,misread,−,"Do not misinterpret my tone as anger.","She misinterpreted the survey results.","He often misinterprets sarcasm."
misjudge,judge wrongly,−,"Do not misjudge her by her clothes.","He misjudged the distance and slipped.","She misjudged the mood of the crowd."
mislead,deceive,−,"The label misleads shoppers about weight.","Do not mislead your team about deadlines.","The article was misleading in its title."
misnomer,wrong name,N,"'Free trial' is a misnomer if you must pay later.","The term is a misnomer in modern usage.","Calling it a shortcut is a misnomer."
misrepresent,portray falsely,−,"The reporter misrepresented her words.","Do not misrepresent your qualifications.","The ad misrepresents the product's size."
mitigate,soften,+,"Aspirin can mitigate the pain.","She tried to mitigate the impact of the news.","New rules mitigate financial risk."
mock,ridicule,−,"He mocked her serious question.","Do not mock the beginner's effort.","She refused to mock her opponent."
model,example,+,"He is a model student.","She built a model of the building.","Please model good behavior for the kids."
moderate,not extreme,+,"He has moderate political views.","She drinks in moderate amounts.","The teacher moderated the debate calmly."
modest,unassuming,+,"He was modest about his big win.","She wore a modest black dress.","They live in a modest home."
modicum,small amount,N,"She showed a modicum of patience.","There was not a modicum of truth in it.","He offered a modicum of comfort."
modish,fashionable,N,"Her modish haircut turned heads.","The cafe has a modish design.","Modish trends fade fast."
modulate,adjust,N,"Please modulate your voice in the hall.","She modulated her tone for the mic.","The band modulated the song to a higher key."
mold,shape,N,"She molds clay into small figures.","Old habits can mold a child's future.","The dough was molded into loaves."
mollify,soothe anger,+,"He mollified his angry boss with a promise.","She tried to mollify the crying child.","Kind words can mollify a tense meeting."
momentary,brief,N,"She felt a momentary panic before speaking.","There was a momentary silence in the hall.","His anger was momentary and passed."
momentous,extremely important,+,"This is a momentous day for the country.","She made a momentous decision to move.","The vote was a momentous event in her life."
monolithic,massively uniform,N,"The party is not as monolithic as it seems.","The monolithic tower dominated the skyline.","She rejected the monolithic view of the group."
monotonous,repetitively dull,−,"His monotonous voice put students to sleep.","The work was monotonous and endless.","She hated the monotonous drive."
monstrous,horribly huge,−,"The monstrous debt shocked the accountants.","He committed a monstrous crime.","The monstrous wave crushed the boat."
moralize,preach morals,−,"Do not moralize about my choices.","He tends to moralize at every dinner.","She writes without moralizing at the reader."
mordant,bitingly sarcastic,−,"Her mordant humor cut deep.","He gave a mordant review of the play.","The essay's mordant tone won few fans."
moreover,in addition,N,"He is late; moreover, he forgot the papers.","Moreover, the price has risen sharply.","She is skilled and, moreover, kind."
moribund,dying out,−,"The moribund industry needs new leaders.","She revived the moribund committee.","Newspapers are called moribund by some."
morose,sullenly gloomy,−,"He grew morose after the loss.","Her morose mood worried her friends.","The morose old man rarely spoke."
morph,transform,N,"The company morphed into a tech firm.","The character morphs during the film.","Her plans morphed with each meeting."
motive,reason,N,"His motive for the crime is unclear.","She had no motive to lie about it.","Money is a common motive in fraud."
muckrake,expose scandal,N,"The reporter muckraked corrupt officials.","She built a career muckraking Wall Street.","Muckraking journalists shaped reforms."
muddle,jumble,−,"He muddled through the tough exam.","She muddled the two names in her email.","The plan is a muddle of ideas."
multifaceted,many-sided,+,"She has a multifaceted career.","The problem is multifaceted and needs thought.","His talents are truly multifaceted."
multifarious,varied,+,"The team's multifarious skills solved the problem.","Her interests are multifarious.","The novel has multifarious themes."
mundane,ordinary,−,"She hates the mundane office tasks.","His weekend was full of mundane errands.","The film raises mundane events to art."
munificent,lavishly generous,+,"The munificent donor funded a whole wing.","Her munificent gift startled the school.","He is munificent with his time as a mentor."
murky,cloudy,−,"The pond water is murky in summer.","His motives remain murky.","She avoided the murky legal question."
mutable,changeable,N,"Her plans are mutable, so tell her early.","Language is mutable over centuries.","Mutable rules confuse new employees."
mutiny,revolt,−,"The crew staged a mutiny at sea.","Team mutiny toppled the coach.","She warned against a small mutiny at work."
myopic,shortsighted,−,"His myopic focus on cost missed real risks.","The myopic plan ignored future growth.","Do not be myopic about foreign trends."
mystery,puzzle,N,"The letter's meaning is a mystery.","She loves reading mystery novels.","His sudden move remains a mystery."
mystification,confusion,−,"His answer left the class in mystification.","Deliberate mystification hurts trust.","There was open mystification at his exit."
