Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
penchant,strong liking,+,"He has a penchant for spicy food.","Her penchant for old films fills her weekends.","The child has a penchant for drawing horses."
penetrating,piercingly insightful,+,"She gave a penetrating look at the witness.","The essay offers penetrating analysis.","His penetrating question exposed the flaw."
pensive,thoughtfully wistful,N,"She sat pensive by the window.","He gave a pensive nod at the news.","The pensive child rarely spoke first."
penurious,poverty-stricken,−,"He grew up in a penurious household.","She lived a penurious life as a young writer.","The penurious old man saved every scrap."
perceptive,insightful,+,"She is a perceptive judge of character.","His perceptive review helped the author.","A perceptive teacher notices quiet students."
peregrination,long wandering,N,"His peregrinations took him across Asia.","She wrote about her peregrinations for a magazine.","The book records his peregrinations abroad."
perennial,lasting,+,"He is a perennial candidate for the office.","Traffic is a perennial problem in the city.","Her perennial optimism cheered the team."
perfidy,treacherous betrayal,−,"His perfidy shocked his oldest friend.","She never forgot his perfidy during the crisis.","The novel is a study in perfidy."
perfunctory,going through motions,−,"He gave a perfunctory apology.","Her review was perfunctory and short.","The perfunctory check missed the real issue."
perilous,dangerously risky,−,"The perilous journey took two months.","She warned about the perilous route.","His perilous choice paid off in the end."
peripatetic,traveling,N,"The peripatetic teacher moved from town to town.","She lived a peripatetic life as a reporter.","Peripatetic vendors work the summer fairs."
peripheral,marginally relevant,N,"His comment was peripheral to the main topic.","She has a peripheral role in the decision.","The peripheral device connects by cable."
perishable,easily spoiled,−,"Keep perishable food in the fridge.","She avoided perishable goods on the trip.","Milk is a perishable item."
permanent,lasting forever,+,"The scar became a permanent mark.","She has a permanent position now.","Nothing here is truly permanent."
permeable,letting through,N,"The membrane is permeable to water.","Her borders on work and rest are permeable.","The wall is permeable to sound."
pernicious,gradually harmful,−,"Gossip has a pernicious effect on trust.","The pernicious weed spread through the garden.","Their pernicious influence lasted for years."
perpetrate,commit,−,"He was accused of perpetrating a hoax.","She would not perpetrate a scam on friends.","Fraudsters perpetrate schemes online."
perpetuate,keep going,−,"Do not perpetuate old stereotypes.","The rule perpetuates unfair pay.","Silence can perpetuate abuse."
perplex,confuse,−,"His answer perplexed the whole class.","She was perplexed by the strange behavior.","The riddle perplexed even experts."
persevere,keep trying,+,"She persevered through years of rejection.","He persevered despite the setbacks.","Persevere and you will finish the course."
persistent,continuing,+,"Her persistent cough worried the doctor.","The persistent rain flooded the yard.","His persistent effort finally paid off."
personable,pleasantly friendly,+,"He is personable and easy to work with.","The personable clerk made shopping fun.","Her personable style won many clients."
perspicacious,shrewdly insightful,+,"She gave a perspicacious reading of the case.","His perspicacious eye caught the small clue.","The perspicacious judge sensed the lie."
perspicuous,transparently clear,+,"Her writing is perspicuous even on hard topics.","The rule needs a perspicuous statement.","He gave a perspicuous account of events."
persuasive,convincing,+,"She gave a persuasive presentation.","His persuasive tone swayed the panel.","The article makes a persuasive case."
pertain,relate to,N,"That rule does not pertain to your case.","This information pertains to the meeting.","His comments pertain only to the budget."
pertinacious,stubbornly persistent,N,"The pertinacious reporter kept asking.","Her pertinacious effort finally won the deal.","He is pertinacious in defending his views."
pertinent,relevant,+,"Her question is pertinent to the discussion.","Please share pertinent facts only.","The pertinent details are on page two."
pervasive,spreading everywhere,N,"There is a pervasive sense of hope.","The pervasive smell of coffee filled the shop.","Bias can be pervasive without notice."
pessimism,expecting worst,−,"His pessimism weighed on the team.","She struggles against creeping pessimism.","Media pessimism scared some investors."
petrify,paralyze with fear,−,"Spiders petrify her completely.","The loud crash petrified the toddler.","Public speaking petrifies him."
petty,trivially minor,−,"She refuses to fight over petty things.","His petty complaints annoyed everyone.","Do not sweat petty disputes."
petulant,childishly sulky,−,"He gave a petulant reply to a fair question.","Her petulant tone lost her the room.","The petulant child threw the toy."
philistine,anti-culture person,−,"He was called a philistine for hating opera.","She refused to be a philistine about poetry.","The article dismisses critics as philistines."
phlegmatic,calmly unemotional,N,"His phlegmatic style suits emergencies.","She gave a phlegmatic response to the news.","The phlegmatic captain never panicked."
phony,fake,−,"His phony smile did not fool anyone.","She caught a phony charity scam.","The phony ID was easily spotted."
picky,fussy,−,"He is picky about coffee brands.","She is a picky eater at breakfast.","Do not be picky when time is short."
picturesque,charmingly scenic,+,"They took photos of the picturesque village.","She lives in a picturesque cottage.","The picturesque view drew many tourists."
piquant,pleasantly sharp,+,"The salsa has a piquant flavor.","She writes with piquant wit.","His piquant remarks livened the dinner."
pithy,concisely meaningful,+,"He gave a pithy summary of the report.","Her pithy quotes fill the article.","The pithy caption made the point."
placate,soothe anger,+,"He tried to placate his angry sister.","She placated the crowd with a small gift.","Kind words can placate a tense boss."
placebo,dummy pill,N,"The trial gave one group a placebo.","Her praise felt like a placebo to me.","The placebo effect can be strong."
placid,peacefully calm,+,"The lake was placid at dawn.","She has a placid, steady temperament.","The placid cow chewed grass."
plagiarism,copying work,−,"She was accused of plagiarism in the essay.","The paper flagged clear plagiarism.","Plagiarism can end a writing career."
plague,affliction,−,"A plague of locusts hit the farm.","Doubt plagued him all week.","Old injuries plague her running."
plaintive,mournfully sad,−,"The plaintive song moved the audience.","She gave a plaintive cry for help.","His plaintive voice caught our attention."
plastic,moldable,N,"The concept is plastic and open to change.","She has plastic views on the issue.","The material is soft and plastic in the hand."
platitude,hollow cliché,−,"His speech was full of platitudes.","She dismissed the compliment as a platitude.","Do not offer platitudes to a grieving friend."
plausible,believable,N,"He gave a plausible reason for the delay.","The story is thin but plausible.","Her alibi seemed plausible at first."
pleasant,agreeable,+,"We had a pleasant time at the park.","She has a pleasant voice on the phone.","The weather was pleasant all week."
pledge,promise,+,"He made a pledge to help every year.","She signed a pledge to the cause.","The pledge raised a hundred dollars."
plentiful,abundant,+,"There is a plentiful supply of fresh fruit.","Rain was plentiful this spring.","She has plentiful energy for the hike."
plethora,excess,−,"There is a plethora of options online.","A plethora of forms delayed the process.","The plethora of choices confused the buyer."
pliant,bending easily,N,"The willow branches are pliant.","She is pliant in her plans.","A pliant staff can shift with the market."
plodding,tediously slow,−,"He has a plodding writing style.","The plodding pace bored the class.","She hated the plodding old routine."
ploy,calculated tactic,N,"His ploy to gain sympathy worked.","She saw through the marketing ploy.","The deal was a ploy to steal customers."
plucky,spiritedly brave,+,"The plucky team won three games in a row.","She was plucky enough to face the boss.","The plucky pup chased away the cat."
plummet,drop sharply,−,"Sales plummeted last quarter.","Her mood plummeted after the news.","The temperature plummeted overnight."
poignant,touchingly moving,+,"His speech was poignant and short.","She wrote a poignant letter to her father.","The poignant scene brought tears."
point,main idea,N,"Please get to the point quickly.","She missed the point of the essay.","The point of the meeting is planning."
pointlessness,total lack of purpose,−,"He felt the pointlessness of the exercise.","She stopped due to the pointlessness of it.","The pointlessness of the trip drained him."
poise,calm composure,+,"She handled the crisis with poise.","He answered the tough question with poise.","The dancer has natural poise."
poison,toxin,−,"He was killed by a slow poison.","Do not let bitterness poison the friendship.","The chemical is a strong poison."
polar,opposite,N,"Their views are at polar ends.","She spoke of polar experiences at work.","The two teams have polar styles."
polarize,split into camps,−,"The issue polarized the whole town.","His comments polarized the meeting.","New rules polarized the party."
polemic,argumentative attack,−,"His book is a polemic against big banks.","She wrote a polemic on the reform.","The polemic angered many readers."
polish,refine,+,"She polished her resume for hours.","He polished the wooden table until it shone.","Her writing needs polish and cutting."
polymath,expert in many fields,+,"He is a true polymath in science and art.","She admired the old polymath's range.","The polymath wrote on physics and poetry."
pompous,puffed-up self-important,−,"He gave a pompous speech about ethics.","Her pompous tone bored the audience.","The pompous host talked only of himself."
ponder,reflect deeply,N,"She pondered the offer for a week.","He pondered the meaning of the poem.","Please ponder these questions overnight."
ponderous,heavily dull,−,"The ponderous book took months to read.","His ponderous style loses casual readers.","Her ponderous speech ran over an hour."
porous,letting things through,N,"The stone is porous and traps water.","Their security is porous in places.","The border is porous to smugglers."
portent,ominous sign,N,"Dark skies felt like a portent.","She read the news as a portent of change.","The letter carried a portent of trouble."
possess,own,N,"He possesses rare stamps.","She possesses great patience.","The house possesses old-world charm."
postpone,delay,N,"They postponed the wedding by a month.","We postponed the trip due to weather.","Please postpone the meeting to Friday."
posturing,pretentious posing,−,"His posturing at the conference impressed no one.","She dismissed the speech as posturing.","Political posturing delays real reform."
potent,powerful,+,"The medicine is very potent.","She gave a potent argument for the change.","His potent voice filled the hall."
powerful,strong,+,"She wrote a powerful essay on grief.","The engine is powerful for its size.","He gave a powerful speech to the crowd."
practical,useful,+,"She gave practical advice for the trip.","The tool has practical value.","He takes a practical approach to problems."
pragmatic,practical,+,"She takes a pragmatic view of politics.","His pragmatic plan avoided drama.","A pragmatic leader avoids empty promises."
praiseworthy,deserving praise,+,"Her volunteer work is praiseworthy.","He made a praiseworthy attempt to help.","The plan has praiseworthy goals."
preachy,moralizing,−,"His speech was preachy and long.","She hates preachy self-help books.","Avoid preachy tones in your essay."
precarious,unstable,−,"The chair is in a precarious position.","Her job is precarious after the merger.","The truce remains precarious."
precede,come before,N,"A short intro precedes each chapter.","Her career preceded his by a year.","Silence preceded the loud crash."
precedent,earlier example,N,"This case sets a legal precedent.","Her hire is a precedent for the team.","There is no precedent for such a rule."
precipitate,hastily rash,−,"His precipitate decision cost the firm money.","She apologized for her precipitate reply.","A precipitate move damaged the deal."
precipitous,dangerously steep,−,"The road down the mountain is precipitous.","Sales took a precipitous drop.","Do not make a precipitous choice under pressure."
preclude,rule out,N,"His absence does not preclude a vote.","The rules preclude any late entries.","Rain precludes an outdoor ceremony."
precocious,advanced for age,+,"She is a precocious eight-year-old writer.","His precocious talent surprised his teachers.","The precocious child read early novels."
precursor,forerunner,N,"Small tremors are precursors to a quake.","The device is a precursor to the smartphone.","She is a precursor of modern feminism."
predate,precede in time,N,"These ruins predate the Roman era.","Her ideas predate the modern debate.","The letter predates his marriage."
predetermine,decide beforehand,N,"Genes do not predetermine your fate.","The vote seemed predetermined.","Do not predetermine the outcome of the study."
predicament,difficult situation,−,"He was in a real predicament with two offers.","She faces a predicament at work.","The predicament required a hard choice."
predict,forecast,N,"Analysts predict growth this quarter.","She could not predict his reaction.","Weather models predict heavy rain."
predilection,strong preference,+,"He has a predilection for jazz.","Her predilection for old cars is famous.","The child shows a predilection for math."
predominant,most common,N,"Red is the predominant color in the painting.","She is the predominant voice on the panel.","The predominant view favors the plan."
preempt,take precedence,N,"The president's speech preempted the show.","She preempted the criticism with an apology.","New rules preempted local laws."
preface,introduction,N,"The book has a short preface.","She prefaced her talk with a joke.","His preface explains the method used."
prefigure,foreshadow,N,"Early events prefigure the tragic end.","Her early sketches prefigure her later style.","The novel prefigures modern themes."
prejudice,biased opinion,−,"His prejudice against the town was clear.","She fights prejudice in her work.","Prejudice slows honest debate."
premature,too early,−,"His premature celebration jinxed the team.","The report was premature and needed edits.","A premature guess ruined the study."
premeditate,plan beforehand,−,"The court found he premeditated the act.","She did not premeditate the harsh reply.","Premeditated crimes carry heavier sentences."
premise,basic assumption,N,"His argument rests on a false premise.","She questioned the premise of the study.","The premise of the film is odd but fresh."
preoccupy,dominate thoughts,N,"Work has preoccupied him all week.","The move preoccupied her thoughts for months.","Do not let one loss preoccupy the team."
preordain,fate,N,"He believed his path was preordained.","She rejected the idea of a preordained future.","The novel treats love as preordained."
presage,foretell,N,"Dark clouds presaged the storm.","Her silence presaged bad news.","Falling leaves presage winter."
prescient,accurately predictive,+,"His prescient warning saved the firm.","She made a prescient guess about the market.","The book was prescient about tech."
prescribe,authoritatively recommend,N,"The doctor prescribed rest and fluids.","Rules prescribe strict punctuality.","She prescribes daily reading for her students."
preservation,protection,+,"The group works on wildlife preservation.","She stresses the preservation of old buildings.","Job preservation was the union's goal."
preside,oversee,N,"She will preside over the ceremony.","He presides over the monthly meetings.","A retired judge presides at the hearing."
prestigious,highly respected,+,"She got a prestigious scholarship.","The prestigious firm hired only top graduates.","His prestigious award drew big press."
presume,assume,N,"Do not presume to know her mind.","She presumed the meeting was Tuesday.","I presume you already ate."
presumptuous,overconfidently bold,−,"His presumptuous email annoyed the boss.","Do not be presumptuous with senior guests.","She apologized for her presumptuous offer."
presuppose,assume beforehand,N,"His argument presupposes rational actors.","The plan presupposes a stable market.","Do not presuppose the answer."
pretend,make believe,N,"The kids pretend to be pilots.","Do not pretend you know the answer.","She pretended not to hear the rude joke."
pretentious,showily fake,−,"His pretentious wine talk bored us.","Her pretentious art book was long and dull.","The film feels pretentious rather than deep."
preternatural,beyond normal,+,"She has a preternatural sense of smell.","His preternatural calm impressed the panel.","The dog's preternatural hearing detected the storm."
pretext,false reason,−,"He came on the pretext of borrowing salt.","She used a pretext to leave the party.","The war began under a false pretext."
prevail,win out,+,"Truth will prevail in the end.","Her calmness prevailed over their panic.","The team prevailed after two overtime periods."
prevalent,widespread,N,"The virus is prevalent in the region.","Bias is prevalent in some workplaces.","This style was prevalent in the 1980s."
prevaricate,lie evasively,−,"Do not prevaricate; answer directly.","He prevaricated when asked about the leak.","She refused to prevaricate under oath."
prevent,stop from happening,+,"Wash hands to prevent illness.","She prevented a bigger fight with a joke.","New rules prevent similar mistakes."
pride,dignity,+,"She takes pride in her craft.","His pride made him refuse help.","The team has pride in its history."
prime,chief,+,"She is in her prime as an athlete.","Meat quality was prime this week.","He is our prime candidate for the role."
primitive,early stage,N,"They used primitive tools to build the shed.","His writing is still in a primitive stage.","Primitive tribes lived along the river."
prioritize,rank importance,+,"She prioritizes family over work.","The team prioritized safety first.","Learn to prioritize your daily tasks."
pristine,perfectly untouched,+,"The cabin sits in a pristine forest.","Her pristine notebook was gift from her mom.","The record is in pristine condition."
private,not public,N,"She kept the note private.","Please respect private property here.","He works for a private firm."
privation,extreme poverty,−,"The village suffered years of privation.","She endured privation during the war.","Privation shaped his frugal habits."
probity,honest integrity,+,"His probity in office earned respect.","She was known for absolute probity.","Probity is central to public service."
proclaim,formally announce,N,"He proclaimed the new law from the balcony.","She proclaimed her love in a long letter.","The town was proclaimed a heritage site."
proclivity,natural tendency,N,"He has a proclivity for late nights.","Her proclivity for risk worries her boss.","The child has a proclivity for drawing."
prodigal,wastefully lavish,−,"He was prodigal with his inheritance.","The prodigal spending emptied their savings.","She wrote about a prodigal artist."
prodigious,impressively enormous,+,"She has prodigious energy at work.","His prodigious memory won the quiz.","The library holds a prodigious archive."
prodigy,gifted young person,+,"She was a violin prodigy at age eight.","The math prodigy solved the puzzle in minutes.","A prodigy needs both talent and guidance."
productive,fruitful,+,"They had a productive morning meeting.","She is productive in short bursts.","The productive team met every deadline."
profess,openly declare,N,"He professed his loyalty to the cause.","She professed no interest in the deal.","Do not profess what you cannot prove."
profession,occupation,N,"Teaching is a noble profession.","He entered the medical profession young.","She left the legal profession last year."
proficient,skilled,+,"She is proficient in three languages.","He is a proficient guitar player.","The team is proficient at fast breaks."
profligate,shamelessly wasteful,−,"His profligate spending drained the fund.","She avoided profligate friends.","The profligate king ruined the treasury."
profound,deeply insightful,+,"He gave a profound answer to a hard question.","Her profound grief lasted for years.","The book had a profound impact on me."
profuse,pouring lavishly,+,"She offered profuse apologies for the delay.","His profuse thanks embarrassed the giver.","The trees give profuse shade in summer."
prognosis,forecast,N,"The doctor gave a hopeful prognosis.","Her prognosis for the market is grim.","The prognosis after surgery is good."
progressive,forward-moving,+,"She has progressive views on schooling.","The illness is slow and progressive.","Her progressive policies won urban voters."
proliferate,multiply rapidly,N,"Startups proliferate in this city.","Rumors proliferate on social media.","Cells proliferate in the tumor."
prolific,highly productive,+,"He is a prolific writer of short stories.","The prolific artist filled two studios.","She is prolific with new ideas."
prolix,boringly long-winded,−,"His prolix emails go on for pages.","She edited the prolix chapter down.","Do not be prolix in your cover letter."
prolong,extend,N,"Do not prolong the meeting after five.","She prolonged the trip by two days.","Rest can prolong an athlete's career."
prominent,widely known,+,"She is a prominent lawyer in the city.","His prominent nose is a family trait.","A prominent role in the film brought him fame."
prompt,quick,+,"His prompt reply solved the issue.","She was prompt for every meeting.","Please give a prompt response by noon."
promulgate,announce officially,N,"The council promulgated new safety rules.","She promulgated her findings in a journal.","The law was promulgated last month."
propagate,spread,N,"Media propagate stories fast.","She propagates her roses from cuttings.","Rumors propagate through the office."
propensity,natural tendency,N,"He has a propensity for saying too much.","Her propensity for kindness is well known.","The dog shows a propensity for herding."
prophetic,accurately predictive,+,"Her warnings were prophetic in hindsight.","The book proved prophetic about tech.","His prophetic remarks became famous."
prophylactic,preventive,+,"They took prophylactic measures against the virus.","The dentist gave a prophylactic cleaning.","Prophylactic drugs helped the traveler."
propitiate,appease,+,"They tried to propitiate the angry crowd.","She propitiated her mother with flowers.","Rituals propitiated the old gods."
propitious,favorably well-timed,+,"They chose a propitious date for the launch.","The weather is propitious for sailing.","This is a propitious moment to invest."
proponent,supporter,+,"She is a proponent of clean energy.","He is a proponent of the new policy.","Every proponent of the reform spoke last."
proprietary,ownership-related,N,"The firm holds proprietary rights to the software.","She protects proprietary formulas closely.","Proprietary devices are hard to repair."
propriety,proper conduct,+,"He behaves with strict propriety in court.","She questioned the propriety of the gift.","Propriety is required at formal dinners."
prosaic,unpoetically dull,−,"The report is prosaic and long.","His prosaic style suits business writing.","A prosaic explanation ended the mystery."
proscription,ban,−,"The proscription of the drug caused debate.","There is a proscription on smoking here.","She fought the proscription of the book."
proselytizer,eager converter,N,"He is a proselytizer for the new diet.","The proselytizer knocked on many doors.","Every proselytizer needs a captive audience."
prospect,future possibility,+,"The prospect of a raise cheered her.","There is a prospect of rain tonight.","The team's prospects look strong."
protean,ever-changing,+,"She has a protean acting style.","The protean market shifts each week.","His protean talents fit many roles."
protocol,formal rules,N,"Security protocol requires two IDs.","She followed the medical protocol closely.","Diplomatic protocol dictates seating."
prototype,early model,N,"They tested a prototype of the phone.","She built a paper prototype first.","The prototype worked on the first try."
protract,lengthen,N,"Do not protract the debate needlessly.","The talks were protracted for weeks.","His protracted illness drained the family."
prove,demonstrate,+,"She proved her skill on the field.","He proved the theorem in one page.","Time will prove him right."
provenance,origin,N,"The vase has a clear provenance.","She researched the provenance of the painting.","Provenance affects the value of art."
provide,supply,+,"The school provides free lunch.","She provided legal advice for free.","Nature provides all we need."
providential,fortunate,+,"His providential arrival saved the day.","She thanked God for the providential rain.","Their providential meeting led to marriage."
provincial,narrow-minded,−,"He has provincial views on food.","The provincial town resisted new ideas.","She found the provincial press dull."
provisional,temporary,N,"She got a provisional driving license.","The rules are provisional until the vote.","He was hired on a provisional basis."
provocative,thought-stimulating,N,"His essay was provocative and fresh.","She gave a provocative talk on schooling.","The provocative ad drew complaints."
prowess,exceptional skill,+,"Her prowess on the field is famous.","His military prowess ended the war.","The chef's prowess drew critics."
proximity,closeness,N,"The store is in proximity to my office.","Her proximity to power boosted her career.","Fear rose with the proximity of the storm."
proxy,substitute,N,"She voted by proxy at the meeting.","Salary is a proxy for skill in this survey.","He signed as proxy for his father."
prudent,wisely cautious,+,"It is prudent to save for a rainy day.","She made a prudent choice about the loan.","A prudent driver watches the weather."
prurient,lustful,−,"He was called out for his prurient stare.","The film has prurient content.","She rejected the prurient tabloid piece."
publicity,public attention,N,"The book got lots of publicity.","She avoids publicity about her family.","Bad publicity hurt the small firm."
puerile,childishly silly,−,"His puerile jokes embarrassed the class.","Do not be puerile in a serious meeting.","The puerile plot ruined the film."
pugnacious,combatively hostile,−,"He gave a pugnacious answer to the reporter.","Her pugnacious style suits debate club.","The pugnacious dog barked at every guest."
punctilious,precisely correct,+,"She is punctilious about grammar.","His punctilious style suits editing.","The punctilious host managed every detail."
puncture,pierce,N,"The nail punctured the tire.","Her joke punctured his big ego.","A small puncture flattened the ball."
purity,cleanness,+,"The purity of the water impressed us.","She spoke about the purity of the sport.","Testing confirmed the purity of the gold."
purport,claim,N,"The email purports to be from her boss.","The film purports to show real events.","Do not accept his purport without proof."
purposeful,determined,+,"She walked with a purposeful stride.","His purposeful actions saved time.","A purposeful team achieves more."
purveyor,supplier,N,"He is a purveyor of fine cheeses.","She is a purveyor of gossip at the office.","The purveyor delivered fresh bread daily."
purview,range of authority,N,"The rule falls under his purview.","Marketing is not in her purview.","The court's purview is limited by law."
pushover,easily beaten,−,"He is no pushover in negotiations.","The team is not a pushover this year.","She refuses to be a pushover at work."
