Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
sham,fraud,−,"His humility was a complete sham.","She exposed the charity as a sham.","The trial was a sham from the start."
sharp,keenly acute,+,"She has a sharp eye for detail.","His sharp reply silenced the room.","The knife needs to be sharp for slicing meat."
shelve,postpone,N,"They shelved the project until next year.","She shelved her plans to travel abroad.","The bill was shelved during the crisis."
shirk,dodge duty,−,"He shirked his household chores every week.","She never shirks a hard task.","Do not shirk your role in the team."
shoddy,poorly made,−,"The shoddy repair job lasted a week.","His shoddy work embarrassed the whole firm.","She returned the shoddy shoes to the store."
short-lived,brief,−,"His fame was short-lived.","The truce was short-lived and violent.","Her joy at the news was short-lived."
shortcoming,defect,−,"The report notes several shortcomings.","She admitted her main shortcoming in the interview.","The plan's shortcoming is its high cost."
shortsighted,lacking foresight,−,"His shortsighted plan ignored future risks.","She warned against shortsighted spending.","The shortsighted policy hurt long-term growth."
shrewd,cunningly wise,+,"She is a shrewd investor with a keen eye.","His shrewd remark solved the puzzle.","The shrewd lawyer noticed the small error."
shriek,piercing scream,−,"She let out a shriek at the surprise.","The kettle gave a loud shriek.","His shriek startled the entire office."
shrill,piercingly high-pitched,−,"Her shrill voice cut through the noise.","The shrill alarm woke the whole floor.","He gave a shrill laugh at the joke."
shrunk,shriveled,−,"The sweater shrunk in the wash.","Sales have shrunk by a third this year.","His hopes shrunk with each rejection."
shun,avoid deliberately,−,"He was shunned by his old friends.","She shuns loud parties.","Do not shun those who need help."
shy,timid,N,"He is too shy to speak in class.","The child was shy around new adults.","She grew shy at the surprise praise."
sidestep,avoid,N,"He sidestepped the tough question.","She sidestepped the awkward topic gracefully.","The politician sidestepped every direct query."
sift,carefully examine,N,"She sifted through the old letters.","Investigators sifted the wreckage for clues.","Cooks sift flour to remove clumps."
significant,important,+,"The change had a significant impact on sales.","She made a significant contribution to the study.","There was significant improvement in his health."
signify,indicate,N,"A nod signifies agreement here.","His silence signified deep concern.","The colors signify different departments."
similarity,likeness,N,"There is a strong similarity between the twins.","She noted a similarity in style.","The similarity of the two cases is striking."
simmer,cook gently,N,"Let the soup simmer for an hour.","Tensions simmer in the small office.","Anger simmered beneath his polite words."
simple,basic,+,"She gave a simple answer to the question.","The recipe is simple but delicious.","Life feels simple in a small town."
simultaneous,at the same time,N,"They arrived at simultaneous times.","The two events were simultaneous by coincidence.","Simultaneous meetings force staff to choose."
sinecure,easy paid job,N,"His government post was a mere sinecure.","She refused the sinecure and asked for real work.","The sinecure pays well for little effort."
singular,unique,+,"She has a singular talent for design.","The event was a singular experience.","His singular style stands out in the industry."
sinuous,gracefully curvy,N,"The river takes a sinuous path.","She wore a sinuous silver necklace.","The dancer's sinuous movements held the audience."
skeptical,doubtful,N,"She was skeptical of the miracle diet.","He is skeptical about the sales projections.","Skeptical scientists demanded more evidence."
sketchy,incomplete,−,"His alibi is sketchy at best.","She only has a sketchy memory of the party.","The report has sketchy details."
skilled,expert,+,"She is a skilled surgeon.","He is skilled at fixing old cars.","The skilled team met every deadline."
skirt,avoid,N,"He skirted the tough question with a joke.","She skirted the issue during the meeting.","We skirted the puddle carefully."
skittish,nervously jumpy,−,"The skittish horse bolted at the noise.","She was skittish before her first speech.","Investors grew skittish after the news."
skullduggery,underhanded trickery,−,"The election was tainted by skullduggery.","She uncovered skullduggery in the accounts.","There was skullduggery behind the deal."
slander,speak evil of,−,"He was sued for slandering her name.","Do not slander your rivals in public.","The article was pure slander."
slapdash,carelessly rushed,−,"He did a slapdash job on the report.","The slapdash repair failed within days.","She avoids slapdash writing at all costs."
sleazy,disreputable,−,"The bar is a sleazy place to meet.","She refused the sleazy offer.","The sleazy tabloid was full of gossip."
slight,small,N,"There is a slight breeze this morning.","He gave a slight smile at her joke.","She took the omission as a slight."
slippery,evasive,−,"He is a slippery witness in court.","The wet floor is slippery.","She is a slippery negotiator to pin down."
slogan,motto,N,"The company changed its slogan last year.","Her slogan was catchy and simple.","Protesters chanted the same slogan."
sloth,laziness,−,"Sloth prevented him from finishing school.","She scolded the team for sheer sloth.","The novel describes his slide into sloth."
slovenly,messy,−,"His slovenly desk embarrassed the office.","She spoke with slovenly grammar.","The slovenly repair job upset the client."
sluggish,slowly lazy,−,"The economy grew at a sluggish pace.","He was sluggish after the heavy meal.","Traffic was sluggish on the highway."
slump,drop,−,"Sales are in a slump this quarter.","She fell into a slump after the loss.","The team's slump lasted for weeks."
slur,disparaging remark,−,"He made a slur about the neighbor.","She apologized for the slur in her post.","The slur cost him his reputation."
snag,obstacle,−,"There was a snag in the contract talks.","We hit a snag during setup.","Her sweater caught on a snag."
snub,cold dismissal,−,"She snubbed him at the party.","The snub cost him his friendship.","He took the snub as a personal insult."
sober,serious,N,"She gave a sober assessment of the risks.","He remained sober throughout the wedding.","Sober analysis is needed here."
sociability,friendliness,+,"Her sociability made the trip fun.","Sociability is a great asset in sales.","The dog's sociability charmed every guest."
soft-pedal,downplay,−,"He soft-pedaled the safety concerns.","Do not soft-pedal the failure in the report.","She refused to soft-pedal the news."
softly,quietly,N,"She spoke softly to the sleeping baby.","He closed the door softly.","The song began softly and rose."
solace,comfort,+,"She found solace in her old friends.","The letter brought him solace.","Music is a solace during hard times."
solemn,dignified serious,N,"He made a solemn promise to help.","The ceremony was solemn and quiet.","Her solemn face silenced the room."
solicitous,anxiously concerned,+,"She was solicitous of her mother's health.","The solicitous host checked on every guest.","His solicitous tone comforted the child."
solidarity,unified support,+,"The workers stood in solidarity with the strikers.","She expressed solidarity with the protesters.","Solidarity binds the community together."
solidify,harden,N,"The plan began to solidify after the meeting.","Her role solidified over the year.","Concrete solidifies within hours."
soliloquy,solo speech,N,"The actor gave a moving soliloquy.","Her soliloquy in Hamlet is famous.","He delivered a five-minute soliloquy at dinner."
solitary,alone,N,"The solitary hiker crossed the ridge.","She lives a solitary life by the sea.","A solitary bird sat on the fence."
somber,gloomily grave,−,"The room had a somber mood after the news.","She wore somber colors to the funeral.","His somber tone worried the class."
somnolent,drowsily sleepy,N,"The lecture had a somnolent effect.","She felt somnolent after the heavy lunch.","The warm room grew somnolent."
sonorous,full and deep,+,"His sonorous voice filled the hall.","The sonorous bells rang for hours.","The narrator has a sonorous tone."
soothe,calm,+,"Music soothed the crying baby.","Her words soothed the angry customer.","Cold water soothes a burn."
soothsayer,fortune-teller,N,"The soothsayer warned him about traveling.","She dismissed the soothsayer's predictions.","Every emperor kept a soothsayer at court."
sophisticated,worldly refined,+,"She has sophisticated taste in art.","The device has a sophisticated design.","His sophisticated wit charmed the guests."
sophistry,false clever reasoning,−,"His argument was pure sophistry.","She dismissed the essay as sophistry.","Do not fall for polished sophistry."
soporific,sleep-inducing,−,"The lecture was truly soporific.","She took a soporific to sleep on the flight.","His soporific voice bored the class."
sordid,morally sleazy,−,"The film shows a sordid crime.","She avoided the sordid gossip at the office.","Sordid details filled the tabloid piece."
sound,valid,+,"The plan is based on sound reasoning.","She gave sound advice about the loan.","His judgment is sound in a crisis."
source,origin,N,"They traced the leak to its source.","She is a reliable source of information.","The book cites many primary sources."
sovereignty,independence,+,"The country regained its sovereignty.","She defended state sovereignty in her essay.","National sovereignty is a key issue."
spare,extra,N,"She keeps a spare key under the mat.","Do you have a spare pen?","He drives a spare car on weekends."
spark,ignite,N,"Her comment sparked a lively debate.","A spark from the fire lit the paper.","The book sparked her interest in law."
sparse,thinly scattered,−,"The village has sparse population.","There is sparse evidence for the theory.","Her notes were sparse and unhelpful."
spartan,austerely bare,N,"His apartment is spartan and clean.","She lives a spartan lifestyle.","The spartan diet keeps him fit."
spearhead,lead,+,"She spearheaded the reform effort.","He spearheaded the fundraising drive.","The team is spearheaded by a young CEO."
specialize,focus on one area,N,"She specializes in family law.","The clinic specializes in sports injuries.","He specialized in medieval history."
specificity,exact detail,+,"The specificity of her report impressed the judge.","The plan lacks specificity in some parts.","Doctors need specificity in the diagnosis."
specious,deceptively plausible,−,"His specious argument fooled no one.","The ad made a specious claim of freshness.","She saw through the specious reasoning."
spectacular,dramatically impressive,+,"The fireworks display was spectacular.","She gave a spectacular performance in the film.","The view from the peak is spectacular."
speculate,conjecture,N,"Analysts speculate that rates will rise.","She refused to speculate about the outcome.","He speculated on the housing market."
spendthrift,wasteful spender,−,"He is a spendthrift with his salary.","She warned against his spendthrift habits.","A spendthrift friend can strain any budget."
spike,sharp increase,N,"There was a spike in sales after the ad.","Prices spiked during the shortage.","She noticed a spike in her heart rate."
spirit,soul,+,"She has a generous spirit.","The team showed real spirit in the final.","His spirit lifted after the vacation."
spiteful,malicious,−,"He wrote a spiteful review of her play.","She refused to be spiteful about the loss.","A spiteful comment ruined the meeting."
split,divide,N,"They split the profits evenly.","The board is split on the reform.","She got a split second to react."
spontaneity,unplanned freeness,+,"Her spontaneity makes her fun to travel with.","There is no spontaneity in the strict schedule.","Kids show natural spontaneity when playing."
sporadic,occasional,N,"There were sporadic gunshots in the distance.","Her attendance was sporadic all year.","Sporadic rain delayed the game."
spread,extend,N,"Butter spreads easily on warm bread.","The rumor spread quickly through the office.","She spread the map on the table."
spur,motivate,+,"His praise spurred her to try harder.","Fear can spur people to act.","A short deadline spurred the team on."
spurious,fake,−,"He offered a spurious excuse for missing work.","The document turned out to be spurious.","She dismissed his spurious claim."
spurn,scornfully reject,−,"He spurned her generous offer.","She spurned advice from her father.","The star spurned the reporter's questions."
squander,waste,−,"He squandered his inheritance on cars.","Do not squander this chance to travel.","She squandered the lead in the last quarter."
square,make even,N,"They squared their debts by year end.","She stands square with the wall.","Please square up the accounts by Friday."
stability,firm steadiness,+,"The country enjoys political stability.","She values stability in her career.","Structural stability is key in bridge design."
stagger,shock,N,"The news staggered the whole office.","He staggered under the weight of the boxes.","She staggered home after the long shift."
stagnant,not moving,−,"The pond water is stagnant and green.","Wages have been stagnant for years.","His career felt stagnant after five years."
staid,dully sedate,N,"The old bank has a staid image.","She wore a staid gray suit to court.","His staid manner suited the formal role."
stalemate,deadlock,−,"The talks reached a stalemate by noon.","The game ended in a stalemate.","Both sides refused to break the stalemate."
staleness,being outdated,−,"The staleness of the ideas hurt the pitch.","She noted the staleness of the party's message.","The bread's staleness ruined the meal."
stalwart,reliably loyal,+,"She is a stalwart supporter of the cause.","The stalwart old dog guarded the yard.","The team's stalwart defender rarely misses."
stanch,stop the flow,N,"They tried to stanch the bleeding.","She could not stanch her tears.","New rules will stanch the losses."
standardization,making uniform,N,"The standardization of parts saved money.","She led the standardization of forms.","Standardization improved quality across shops."
startle,shock,−,"The loud bang startled the class.","She was startled by the sudden call.","Do not startle the sleeping dog."
stasis,inactive equilibrium,N,"The negotiations reached stasis after two days.","Her career fell into stasis for a year.","The market is in stasis before the report."
static,unchanging,N,"Prices have remained static this month.","The image is a static screenshot.","The show is static and boring."
stave,ward off,N,"She staved off illness with sleep and juice.","The team staved off defeat until overtime.","He staved off hunger with a snack."
steadfast,unwavering,+,"She is steadfast in her beliefs.","His steadfast support helped her win.","The steadfast crew held the ship in the storm."
steady,stable,+,"He has a steady hand for surgery.","She holds a steady job at the firm.","The plane took a steady course."
stem,stop,N,"They tried to stem the tide of losses.","Nothing could stem her flow of ideas.","The dam helps stem the annual floods."
stern,firmly harsh,−,"The judge gave a stern warning.","Her stern look silenced the room.","He is stern but fair with his students."
stifle,suppress,−,"She tried to stifle a laugh in the meeting.","The heat stifled the whole afternoon.","Strict rules can stifle creativity."
stigmatize,brand with shame,−,"Do not stigmatize workers for asking for help.","The label stigmatizes families in poverty.","Society sometimes stigmatizes mental illness."
stimulant,arousing agent,N,"Coffee is a mild stimulant.","The reform is a stimulant to small business.","Her praise was a stimulant to his work."
stimulate,activate,+,"Music can stimulate creativity.","The tax cut aims to stimulate growth.","The problem stimulated his curiosity."
stingy,unwilling to spend,−,"He is stingy with tips at restaurants.","Her stingy budget frustrated the team.","Do not be stingy with praise for kids."
stint,fixed period,N,"He did a stint in the navy.","She did a short stint as a reporter.","The stint at the startup taught him a lot."
stipulate,specify as condition,N,"The contract stipulates a monthly payment.","She stipulated no phones during dinner.","Rules stipulate strict attendance."
stoic,nobly enduring,+,"She was stoic through the whole illness.","His stoic manner impressed his officers.","The stoic athlete never complained about pain."
stolid,dully impassive,N,"The stolid guard did not react to the shout.","His stolid face gave nothing away.","Her stolid style suits calm meetings."
straightforward,direct and clear,+,"She gave a straightforward answer to the question.","The instructions are straightforward.","He has a straightforward writing style."
strain,pressure,−,"The strain of the job showed on her face.","She strained her back moving furniture.","There is strain between the two partners."
strange,unusual,N,"He had a strange dream last night.","She met a strange man on the bus.","The soup has a strange flavor."
stratify,divide into layers,N,"Society stratifies by wealth and education.","The study stratifies patients by age.","Rocks stratify over millions of years."
strenuous,requiring hard effort,N,"He made a strenuous effort to finish first.","The hike was strenuous but beautiful.","Strenuous exercise is not for everyone."
strictness,severity,−,"The strictness of the rules surprised new staff.","She is known for the strictness of her grading.","Strictness without warmth loses students."
strident,harshly loud,−,"His strident voice filled the small room.","She rejected the strident tone of the ad.","Strident critics dominated the panel."
strife,bitter conflict,−,"The village lived through years of strife.","There was strife between the two brothers.","Political strife delayed all reforms."
strike,work stoppage,N,"The workers voted to strike next week.","She struck a match to light the candle.","The plan struck a chord with voters."
stringent,strictly rigorous,N,"The safety rules are stringent for a reason.","She followed a stringent diet before the race.","Stringent tests weeded out weak candidates."
strip,narrow piece,N,"He took a strip of paper for the note.","The strip of land runs along the river.","She strip the old wallpaper carefully."
strong,powerful,+,"She has a strong voice for singing.","The bridge is strong enough for trucks.","He made a strong argument for the reform."
struck,hit,N,"The clock struck midnight.","She was struck by his kindness.","Lightning struck the tall oak."
structure,arrangement,N,"The essay lacks a clear structure.","She admired the structure of the poem.","The new tax structure was announced today."
stubborn,unyielding,−,"He is stubborn about his old habits.","The stubborn stain would not wash out.","Her stubborn refusal ended the deal."
stun,shock,−,"The news stunned the whole family.","She was stunned by his sudden departure.","The upset win stunned the crowd."
stupefaction,dazed astonishment,−,"He stood in stupefaction at the results.","Her stupefaction slowly gave way to a smile.","The audience sat in silent stupefaction."
style,manner,N,"She has a unique writing style.","The room is decorated in a modern style.","He does everything with style."
stymie,thwart,−,"Budget cuts stymied the project.","She was stymied by the missing part.","Poor weather stymied our travel plans."
subdued,muted,N,"The room had a subdued light.","Her subdued tone worried the class.","The mood at dinner was subdued after the news."
subjective,personal,N,"Beauty is a subjective judgment.","The review was too subjective for the panel.","Her feelings are subjective, not fact."
subordinate,lower in rank,N,"He is subordinate to the manager.","Personal interest should be subordinate to duty.","She trained her subordinate to take over."
subservient,slavishly obedient,−,"He is subservient to every whim of the boss.","She refused to be subservient in the meeting.","A subservient tone lost her credibility."
subside,die down,N,"The storm began to subside by dawn.","Her anger subsided after the apology.","The pain subsided with the medicine."
subsidize,fund partially,+,"The government subsidizes school lunches.","She subsidizes her hobby with a side job.","Grants subsidize the arts in the city."
substantial,large,+,"He made a substantial contribution to the fund.","The delay caused substantial losses.","She earned a substantial raise this year."
substantiate,prove,+,"She substantiated her claim with data.","The article substantiates its main point well.","He could not substantiate his alibi."
substitute,replacement,N,"She served as a substitute teacher.","We used honey as a substitute for sugar.","The player was a good substitute."
subsume,absorb into larger category,N,"The old rules were subsumed into the new code.","Her role was subsumed by the new manager.","Small towns were subsumed into the city."
subtle,faintly refined,+,"He gave a subtle hint about the answer.","She has subtle taste in perfume.","The subtle change in tone worried her."
subvert,secretly overthrow,−,"Rebels tried to subvert the government.","Do not subvert the team's plan with rumors.","The book aims to subvert old thinking."
success,favorable outcome,+,"Her business is a real success.","He credited hard work for his success.","The party was a success by every measure."
successor,next in line,N,"She groomed her successor for two years.","The heir became his father's successor.","The new phone is a successor to last year's model."
succinctness,brief clarity,+,"The succinctness of the email surprised her.","She admired the succinctness of the report.","Try for succinctness in your cover letter."
succor,help in need,+,"The village provided succor to the refugees.","She gave succor to the sick and elderly.","Doctors offer succor without judgment."
succumb,give in,−,"He finally succumbed to the illness.","She refused to succumb to the pressure.","Do not succumb to easy shortcuts."
suggest,recommend,+,"May I suggest a lighter dish?","She suggested we meet on Monday.","His tone suggests he is unsure."
suit,match,N,"Please suit the color to the room.","She wore a black suit to the interview.","His style did not suit the formal event."
superannuation,retirement pension,N,"He receives a superannuation from his old job.","She checked her superannuation fund online.","Superannuation planning starts in your thirties."
supercilious,haughtily scornful,−,"His supercilious smile annoyed the interviewer.","She rejected the supercilious tone of the ad.","The supercilious clerk lost the sale."
superficial,shallow,−,"His analysis was superficial and rushed.","She has only a superficial knowledge of Spanish.","The changes are superficial and cosmetic."
superfluous,unnecessarily extra,−,"Please cut the superfluous details.","His long apology felt superfluous.","She removed the superfluous words from the draft."
superior,better,+,"This wine is superior to the other brand.","She is a superior athlete in her age group.","He reported to a superior at the office."
superlative,of the highest quality,+,"He gave a superlative performance last night.","The food was superlative at the small cafe.","Her essay earned superlative reviews."
supersede,replace with newer,N,"The new law supersedes the old one.","This app will supersede the old system.","Faster tech supersedes older devices quickly."
supplant,replace by force,N,"He was supplanted by a younger manager.","The new king supplanted his cousin.","AI may supplant some routine jobs."
supple,flexible,+,"Dancers have supple joints.","The leather is soft and supple.","Her supple mind adapts to new ideas."
supplement,add to,+,"She takes a vitamin supplement each morning.","The library supplements its budget with grants.","Her income is supplemented by tutoring."
supplicate,humbly beg,N,"He supplicated the judge for mercy.","She refused to supplicate for her old job.","Old rituals supplicate the gods for rain."
support,help,+,"She has the support of her whole family.","The bridge supports heavy trucks.","He offered emotional support during the loss."
supposition,assumption,N,"His plan rests on a wrong supposition.","She acted on the supposition of goodwill.","The supposition proved unfounded."
suppress,forcibly stifle,−,"The regime suppressed all dissent.","She tried to suppress her laugh.","New rules suppress fraudulent claims."
supremacy,dominance,N,"The team's supremacy in the sport is clear.","She questioned his claim of supremacy.","Naval supremacy shaped the outcome."
surfeit,excess,−,"There is a surfeit of options this fall.","The buffet had a surfeit of desserts.","A surfeit of praise can spoil a young star."
surmise,guess,N,"I can only surmise his reasons.","Her surmise about the outcome proved right.","The detective surmised the timeline from clues."
surmount,overcome,+,"She surmounted every obstacle on the way.","He surmounted his fear of public speaking.","The team surmounted a two-goal deficit."
surpass,exceed,+,"Her sales surpassed the whole team's.","He surpassed his own record.","The new phone surpasses the old one in speed."
surplus,excess,N,"The farm has a surplus of tomatoes.","She saved the surplus for the winter.","The budget shows a small surplus."
surprise,unexpected event,N,"His visit was a lovely surprise.","She could not hide her surprise at the news.","Do not surprise the sleeping child."
surrender,give up,−,"He refused to surrender his rights.","She surrendered the trophy after the appeal.","The city surrendered after the long siege."
surreptitious,sneakily secret,−,"He gave her a surreptitious glance.","She made a surreptitious note during the call.","The surreptitious meeting was in a quiet cafe."
surrogate,substitute,N,"He acts as a surrogate father for the boy.","She was chosen as a surrogate speaker.","The surrogate carried the baby to term."
survey,detailed inspection,N,"They conducted a survey of local shops.","She surveyed the room before speaking.","The survey shows growing customer trust."
survival,continuing to live,+,"His survival was a small miracle.","The animal's survival depends on the forest.","The film is about survival at sea."
suspect,doubt,−,"Police suspect a break-in at the office.","I suspect he is not telling the whole truth.","The suspect denied every charge."
suspense,anxious uncertainty,N,"The suspense before the results was intense.","She kept the audience in suspense.","The film builds suspense in every scene."
sustain,keep going,+,"She sustained her energy through the marathon.","The bridge can sustain heavy loads.","He sustained a small injury during the game."
sway,influence,N,"Her speech swayed many undecided voters.","The tall grass swayed in the breeze.","He holds real sway over the committee."
sweep,broad scope,N,"The reform has a wide sweep.","She swept the porch before the guests arrived.","The film has a sweep of history."
swift,fast,+,"She gave a swift reply to the email.","The runner is swift on the track.","A swift response saved the deal."
swindle,cheat,−,"He swindled the elderly out of their savings.","She was swindled by a fake charity.","The scheme swindled many small investors."
sycophantic,fawningly flattering,−,"His sycophantic emails annoyed the boss.","The sycophantic aides said only what she wanted.","Her sycophantic tone lost her respect."
symbiotic,mutually beneficial,+,"The two firms have a symbiotic relationship.","Bees and flowers share a symbiotic bond.","Their symbiotic partnership benefits both sides."
symbolic,representing something,N,"The gift was symbolic of their friendship.","The white dove is symbolic of peace.","His visit was purely symbolic."
sympathy,shared feeling,+,"She has deep sympathy for the family.","He wrote a note of sympathy to his neighbor.","Sympathy alone does not fix the problem."
synergy,combined effect,+,"There is real synergy between the teams.","The merger promised synergy but delivered chaos.","Music and story create powerful synergy in film."
synonymous,meaning the same,N,"His name is synonymous with quality.","Success is not synonymous with wealth.","The two terms are nearly synonymous."
synoptic,summary overview,N,"She wrote a synoptic view of the trial.","The synoptic chart shows all key data.","The synoptic report saves reading many pages."
synthesize,combine into whole,N,"She synthesized ideas from many books.","Chemists synthesize the drug in the lab.","The report synthesizes months of research."
systematic,methodically ordered,+,"She took a systematic approach to the problem.","The systematic search found every clue.","His systematic notes helped the team."
systemic,affecting whole system,N,"The problem is systemic, not personal.","Systemic racism requires broad reform.","The infection became systemic quickly."
